EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,4,-1,-7,-8,-12,-14,62,45,27,1023,1019,1015,16,16,16,40,20,50,0.00,2,,233
2015-1-2,7,3,-1,-7,-8,-8,56,45,33,1032,1024,1017,16,16,16,40,17,47,0.00,4,,256
2015-1-3,4,1,-3,4,-2,-7,100,77,54,1036,1031,1019,16,8,1,21,11,32,20.07,8,Fog-Rain-Snow,39
2015-1-4,13,9,4,11,7,2,100,92,83,1017,1010,1005,16,9,0,56,17,71,6.86,8,Fog-Rain,238
2015-1-5,9,1,-7,-1,-11,-19,61,44,27,1030,1020,1010,16,16,16,60,31,76,0.00,3,,287
2015-1-6,-6,-8,-11,-9,-12,-18,92,68,43,1030,1025,1017,16,11,2,26,10,37,1.27,7,Snow,257
2015-1-7,-4,-8,-13,-10,-15,-23,88,64,40,1026,1017,1014,16,15,5,52,27,72,T,4,Snow,282
2015-1-8,-6,-10,-14,-16,-19,-23,60,52,43,1031,1028,1024,16,16,16,40,21,61,0.00,3,,255
2015-1-9,1,-4,-8,-7,-11,-16,92,66,40,1024,1018,1016,16,10,0,52,23,63,1.02,6,Snow,235
2015-1-10,-5,-7,-10,-16,-18,-19,53,46,38,1036,1031,1024,16,16,16,34,21,56,0.00,1,,259
2015-1-11,3,-3,-9,-9,-13,-18,56,44,32,1039,1036,1033,16,16,16,32,12,37,0.00,7,,211
2015-1-12,4,3,1,2,-1,-9,100,72,44,1032,1025,1020,16,10,2,23,9,32,8.38,8,Rain,251
