CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,4,3,2,4,2,-2,100,82,64,1028,1024,1021,16,5,1,24,17,29,10.41,8,Fog-Rain-Thunderstorm,5
2015-1-2,6,4,3,6,4,3,100,100,100,1022,1019,1014,11,5,2,24,15,32,3.56,8,Rain-Thunderstorm,358
2015-1-3,16,8,1,7,4,1,100,76,51,1021,1016,1013,16,14,2,23,7,32,16.00,5,Rain-Thunderstorm,331
2015-1-4,11,4,-2,3,-1,-6,100,71,42,1039,1032,1021,16,16,14,39,19,50,0.00,3,,355
2015-1-5,11,3,-4,-2,-4,-7,85,61,36,1040,1036,1031,16,16,16,21,9,24,0.00,3,,2
2015-1-6,20,10,-1,3,0,-2,85,56,26,1031,1029,1026,16,16,16,21,7,29,0.00,2,,197
2015-1-7,11,5,-1,3,-3,-13,86,61,35,1043,1035,1027,16,16,16,56,27,68,0.00,4,,8
2015-1-8,3,-2,-6,-5,-11,-14,61,50,39,1042,1034,1027,16,16,16,37,13,43,0.00,5,,145
2015-1-9,4,3,1,1,-3,-7,92,73,54,1035,1032,1026,16,15,5,39,20,45,T,8,Rain,20
2015-1-10,3,2,0,2,-1,-7,100,74,48,1035,1031,1026,16,8,3,23,14,27,9.40,8,Rain-Snow-Thunderstorm,17
2015-1-11,9,6,2,7,4,2,100,90,80,1026,1023,1019,16,10,3,23,9,26,5.33,8,Rain-Thunderstorm,18
2015-1-12,8,7,6,7,6,2,100,88,76,1031,1025,1021,16,7,0,37,22,43,0.00,8,Fog,5
2015-1-13,6,4,2,2,1,0,92,81,70,1033,1030,1028,16,12,10,32,19,40,T,8,,1
2015-1-14,5,4,3,4,3,1,100,90,79,1029,1027,1025,11,6,2,26,15,29,T,8,Rain,5
2015-1-15,14,8,2,3,2,1,92,70,47,1029,1027,1025,16,14,5,24,10,34,T,5,,340
2015-1-16,17,7,-3,5,2,-2,100,70,39,1029,1026,1022,16,16,16,21,6,24,0.00,3,,203
2015-1-17,22,11,1,8,4,1,92,64,36,1025,1020,1016,16,16,13,32,11,39,0.00,4,Fog,240
2015-1-18,21,11,0,2,-1,-3,85,54,22,1028,1025,1023,16,16,16,21,8,26,0.00,1,,266
2015-1-19,22,11,-2,9,4,-3,92,66,40,1022,1017,1013,16,16,16,32,10,42,0.00,1,,196
2015-1-20,27,14,1,10,7,1,100,65,30,1017,1014,1011,16,14,5,26,7,27,0.00,0,Fog,98
2015-1-21,13,11,9,13,11,6,100,87,74,1020,1018,1016,16,6,0,27,16,32,10.41,7,Fog-Rain,23
2015-1-22,12,8,4,11,8,3,100,96,92,1024,1019,1015,16,8,2,50,32,60,61.98,8,Rain-Thunderstorm,11
2015-1-23,10,6,1,7,4,1,100,83,66,1027,1024,1022,16,14,6,39,17,52,10.41,6,Rain,332
2015-1-24,17,7,-3,4,1,-3,100,65,30,1025,1022,1019,16,16,13,16,8,23,0.00,4,Fog,229
2015-1-25,22,11,0,5,2,-1,92,58,24,1023,1019,1016,16,16,16,27,12,39,0.00,2,,289
2015-1-26,23,12,1,7,3,0,89,56,23,1025,1023,1021,16,16,16,19,8,27,0.00,4,,273
2015-1-27,27,14,2,8,4,2,85,54,23,1022,1021,1019,16,16,16,21,6,29,0.00,1,,251
2015-1-28,27,14,2,9,6,3,100,64,27,1022,1020,1018,16,16,16,37,10,45,0.00,1,,196
2015-1-29,24,16,7,15,10,1,100,72,43,1029,1023,1020,16,10,0,39,13,48,0.00,5,Fog,185
2015-1-30,14,11,7,4,3,1,71,59,46,1031,1028,1025,16,16,16,40,19,53,T,7,Rain,36
2015-1-31,17,12,6,17,11,4,100,83,66,1024,1017,1012,16,10,2,34,9,40,6.60,8,Rain,105
2015-2-1,23,15,7,16,12,-1,100,77,53,1025,1015,1011,16,15,8,39,22,47,0.00,6,,250
2015-2-2,8,4,1,-1,-4,-7,62,50,38,1030,1027,1025,16,16,16,39,17,50,0.00,6,,29
2015-2-3,6,5,3,6,3,-2,100,81,62,1028,1025,1023,16,13,5,16,6,23,5.84,8,Rain,166
2015-2-4,14,10,6,10,7,5,100,89,77,1023,1020,1016,16,9,1,24,7,29,1.27,7,Rain,198
2015-2-5,11,8,4,9,2,-1,89,77,65,1031,1028,1023,16,16,10,42,19,52,T,8,,357
2015-2-6,14,9,3,6,3,1,89,73,57,1031,1028,1024,16,15,10,24,9,32,0.00,4,,178
2015-2-7,20,12,3,12,8,3,100,77,53,1023,1019,1015,16,14,3,40,20,52,0.00,2,,194
2015-2-8,24,17,10,15,13,10,100,79,57,1016,1012,1009,16,13,4,35,18,45,T,5,,199
2015-2-9,27,17,7,10,7,4,100,63,26,1020,1018,1016,16,16,14,24,7,27,0.00,0,,356
2015-2-10,27,15,3,10,7,3,92,62,32,1018,1015,1013,16,16,16,27,11,34,0.00,0,,193
2015-2-11,24,14,3,12,9,3,100,66,31,1023,1017,1014,16,10,0,39,11,47,0.00,4,Fog,159
2015-2-12,16,10,4,6,2,0,85,62,39,1030,1027,1023,16,16,14,42,23,52,0.00,3,,14
2015-2-13,19,11,2,7,4,-1,89,66,43,1029,1026,1023,16,16,16,24,8,27,0.00,1,,190
2015-2-14,25,15,4,12,8,4,96,66,36,1025,1023,1021,16,15,10,19,6,24,0.00,3,,205
2015-2-15,19,15,10,17,14,9,96,89,81,1021,1017,1012,16,14,8,29,13,39,T,7,Rain,178
2015-2-16,19,11,3,17,4,-2,100,85,70,1024,1017,1010,16,13,3,42,26,55,1.27,8,Rain,344
2015-2-17,12,6,-1,0,-3,-5,85,62,38,1027,1024,1021,16,16,16,37,17,43,0.00,5,,3
2015-2-18,18,7,-4,1,-1,-4,100,64,27,1029,1026,1024,16,16,16,29,8,35,0.00,0,,210
2015-2-19,21,10,-2,9,4,-2,92,66,40,1029,1024,1019,16,16,14,40,14,52,0.00,2,,185
2015-2-20,23,17,11,16,14,10,89,73,57,1017,1013,1008,16,16,16,47,27,58,0.00,7,,183
2015-2-21,26,19,13,17,14,7,87,71,54,1016,1011,1009,16,16,11,47,22,58,0.00,7,,177
2015-2-22,13,8,3,11,7,1,93,83,72,1030,1020,1014,16,13,5,52,24,61,0.25,8,Rain,17
2015-2-23,3,1,-1,1,-1,-3,100,91,82,1033,1031,1029,16,12,3,48,29,60,T,8,Rain,2
2015-2-24,3,1,-1,1,-1,-3,100,88,75,1029,1023,1017,16,12,3,24,13,27,T,8,,21
2015-2-25,17,9,1,3,1,-2,92,61,30,1017,1013,1009,16,12,3,27,8,37,0.25,5,Rain-Thunderstorm,334
2015-2-26,11,4,-3,3,-1,-6,100,76,52,1029,1022,1013,16,15,10,40,21,52,0.00,5,,13
2015-2-27,3,1,-1,-1,-4,-6,82,67,52,1031,1029,1026,16,15,8,37,24,42,T,8,,22
2015-2-28,3,1,-1,3,0,-3,100,89,78,1028,1026,1024,16,7,2,27,19,34,2.79,8,Rain,6
2015-3-1,6,4,2,6,3,2,100,98,96,1028,1026,1023,11,4,2,34,19,37,2.79,8,Rain,3
2015-3-2,7,6,3,6,4,3,100,95,89,1028,1025,1021,16,6,0,26,17,32,1.02,8,Rain,12
2015-3-3,15,10,5,15,10,5,100,97,93,1021,1014,1010,10,2,0,19,6,24,0.51,8,Fog,188
2015-3-4,21,12,2,21,12,0,100,100,100,1026,1012,1008,16,4,0,48,16,61,0.76,8,Fog-Rain,318
2015-3-5,8,2,-3,2,-4,-8,100,68,36,1037,1032,1023,16,16,16,56,32,66,2.29,4,Rain,4
2015-3-6,12,3,-6,-1,-4,-8,96,64,32,1038,1035,1032,16,16,16,19,7,27,0.00,2,,30
2015-3-7,16,8,1,2,0,-4,82,55,28,1032,1029,1025,16,16,16,21,5,24,T,8,,157
2015-3-8,12,11,9,11,9,3,100,75,50,1025,1021,1017,16,7,0,21,9,26,13.21,8,Fog-Rain,117
2015-3-9,12,11,9,12,10,9,100,97,93,1018,1014,1011,16,9,2,23,13,26,40.13,8,Rain,3
2015-3-10,18,13,8,11,11,8,100,83,65,1021,1017,1014,16,16,14,23,11,31,T,8,,2
2015-3-11,15,14,12,11,10,9,93,85,77,1024,1022,1020,16,16,11,32,18,40,0.00,8,,13
