EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,11,3,-5,1,-3,-7,88,65,42,1028,1026,1023,16,16,14,24,7,29,0.00,3,,226
2015-1-2,12,9,5,4,3,1,76,63,50,1029,1026,1023,16,16,14,14,5,19,0.00,7,,224
2015-1-3,11,9,8,8,7,4,93,82,71,1030,1026,1022,16,8,0,14,6,39,4.06,8,Fog-Rain,76
2015-1-4,21,15,9,17,14,3,97,76,55,1021,1017,1011,16,9,0,42,16,63,7.37,8,Fog-Rain,238
2015-1-5,13,7,0,2,-4,-9,65,46,26,1031,1027,1020,16,16,16,24,9,35,0.00,3,,321
2015-1-6,13,5,-3,-2,-6,-8,75,52,29,1029,1024,1019,16,16,16,34,8,42,0.00,4,,241
2015-1-7,4,-2,-9,-5,-11,-22,78,53,27,1034,1023,1019,16,16,16,27,10,45,0.00,5,,325
2015-1-8,-3,-7,-12,-18,-21,-22,50,38,25,1038,1034,1028,16,16,16,24,9,37,0.00,2,,219
2015-1-9,7,1,-6,-9,-14,-18,49,36,22,1028,1024,1022,16,16,16,34,13,42,0.00,4,,244
2015-1-10,4,-1,-6,-12,-15,-19,55,37,19,1037,1034,1028,16,16,16,13,2,23,0.00,0,,13
2015-1-11,9,1,-8,-7,-12,-15,74,45,16,1038,1036,1032,16,16,14,11,1,19,0.00,5,,110
2015-1-12,9,6,2,7,4,-5,96,66,36,1031,1024,1020,16,4,0,21,3,29,32.77,8,Fog-Rain,274
2015-1-13,7,3,-1,6,1,-4,92,81,70,1030,1027,1022,16,12,3,32,18,45,0.76,8,Rain,42
2015-1-14,1,-1,-2,-1,-2,-4,92,89,85,1028,1025,1022,8,3,1,19,8,27,0.25,8,Rain,12
2015-1-15,5,2,-1,1,0,-1,92,83,73,1024,1022,1019,16,7,0,14,5,16,T,8,Fog-Rain,231
2015-1-16,12,6,-1,1,-2,-4,96,66,35,1024,1019,1017,16,13,5,23,6,35,T,1,Fog,265
2015-1-17,11,4,-3,2,-2,-6,78,60,41,1029,1026,1022,16,16,14,19,8,34,0.00,2,,127
2015-1-18,16,11,5,8,3,-3,92,64,35,1021,1015,1009,16,11,0,29,9,50,12.45,5,Rain,255
2015-1-19,17,8,-1,-2,-3,-4,75,49,23,1019,1016,1014,16,16,16,24,8,35,0.00,1,,236
2015-1-20,19,12,4,2,-1,-2,64,45,26,1015,1013,1011,16,16,16,26,10,32,0.00,6,,222
2015-1-21,12,7,2,3,2,0,85,68,50,1022,1017,1014,16,16,16,19,8,26,0.00,4,,44
2015-1-22,15,7,-1,3,-2,-4,92,61,30,1028,1026,1022,16,14,8,21,5,27,0.00,3,Fog,40
2015-1-23,5,3,2,3,1,-3,92,76,59,1028,1020,1007,16,9,2,23,11,27,17.02,8,Rain,69
2015-1-24,9,6,2,4,0,-4,92,69,45,1010,1004,1001,16,13,2,21,9,34,3.56,6,Rain,307
2015-1-25,13,6,-2,1,-2,-4,78,62,45,1014,1012,1009,16,16,14,21,8,27,0.00,2,,195
2015-1-26,10,7,3,6,3,1,93,82,70,1008,1005,1002,16,15,6,14,5,27,6.10,7,Rain,17
2015-1-27,7,3,-1,-1,-8,-16,82,53,24,1016,1010,1006,16,16,8,19,8,29,0.25,5,Rain-Snow,319
2015-1-28,8,2,-4,-9,-11,-13,63,43,22,1028,1023,1017,16,16,16,19,5,26,0.00,1,,6
2015-1-29,8,2,-5,-1,-8,-12,74,51,28,1028,1024,1016,16,16,14,24,7,29,0.51,5,Rain,199
2015-1-30,9,4,-2,-2,-8,-14,64,45,25,1027,1020,1014,16,16,16,29,13,50,T,3,Rain,302
2015-1-31,9,2,-6,-8,-13,-17,54,36,18,1029,1027,1026,16,16,16,19,4,26,0.00,3,,285
2015-2-1,14,7,0,7,-4,-9,61,43,24,1026,1021,1010,16,16,16,32,11,40,0.00,7,,195
2015-2-2,17,8,-2,12,3,-11,86,61,35,1021,1006,1000,16,15,3,42,21,63,9.91,5,Rain,259
2015-2-3,7,1,-6,-8,-10,-12,63,44,17,1029,1026,1022,16,16,16,16,5,24,0.00,1,,215
2015-2-4,12,4,-4,-1,-5,-8,75,53,30,1028,1023,1017,16,16,16,26,10,32,0.00,6,,212
2015-2-5,10,4,-3,-1,-8,-17,62,44,25,1027,1018,1013,16,16,16,26,10,42,T,4,,337
2015-2-6,6,-1,-8,-11,-14,-16,62,41,20,1030,1028,1026,16,16,16,21,7,26,0.00,4,,233
2015-2-7,16,6,-3,-6,-8,-12,55,37,19,1025,1022,1018,16,16,14,37,13,47,0.00,3,,224
2015-2-8,22,13,4,1,-3,-6,52,36,19,1017,1014,1011,16,16,16,45,23,61,0.00,1,,223
2015-2-9,17,12,7,11,7,1,93,70,46,1011,1008,1007,16,11,4,27,10,35,10.16,8,Rain-Thunderstorm,235
2015-2-10,7,5,2,4,1,-3,89,77,65,1015,1011,1007,16,15,10,26,18,40,4.32,7,Rain,25
2015-2-11,11,5,-1,-1,-3,-4,78,60,42,1018,1016,1014,16,16,16,29,8,42,0.00,1,,9
2015-2-12,12,6,-2,1,-4,-14,89,60,30,1021,1013,1008,16,16,14,34,9,56,0.00,2,,296
2015-2-13,2,-2,-5,-14,-16,-18,46,35,24,1027,1024,1022,16,16,16,23,8,32,0.00,4,,339
2015-2-14,12,3,-6,-2,-9,-15,60,44,27,1022,1012,1003,16,16,8,56,18,77,T,4,Snow,238
2015-2-15,-2,-6,-9,-17,-22,-23,39,29,19,1028,1023,1014,16,16,16,37,15,61,0.00,0,,315
2015-2-16,-3,-5,-7,-9,-16,-22,77,51,25,1028,1022,1012,16,12,2,21,10,26,5.59,7,Rain-Snow,75
2015-2-17,2,-3,-7,-6,-8,-10,84,66,47,1014,1012,1008,16,11,2,21,7,29,9.91,8,Rain,11
2015-2-18,4,-1,-7,-2,-6,-16,88,66,43,1016,1012,1008,16,12,0,39,10,45,1.52,5,Fog-Snow,229
2015-2-19,-5,-8,-11,-16,-21,-23,49,39,28,1026,1022,1017,16,16,16,29,14,42,0.00,1,,306
2015-2-20,-3,-8,-14,-17,-21,-24,49,38,27,1034,1032,1027,16,16,14,21,9,32,0.00,0,,18
2015-2-21,4,-2,-8,2,-7,-18,79,61,43,1033,1027,1022,16,15,2,14,5,23,0.00,7,,149
2015-2-22,14,8,1,8,4,-1,96,82,67,1023,1022,1021,16,9,0,19,4,26,2.03,8,Rain,248
2015-2-23,8,4,-1,6,1,-9,89,72,54,1027,1024,1021,16,13,3,24,12,32,0.76,8,Rain,32
2015-2-24,-1,-4,-7,-7,-9,-17,81,59,37,1027,1022,1014,16,8,1,26,7,35,2.29,7,Snow,67
2015-2-25,8,0,-8,-1,-5,-9,88,63,37,1016,1013,1011,16,11,1,19,7,26,9.14,6,Fog-Snow,173
2015-2-26,2,0,-2,-1,-2,-3,92,84,75,1022,1011,1005,16,6,0,27,10,40,18.29,8,Fog-Rain-Snow,29
2015-2-27,7,1,-5,-2,-6,-9,92,66,40,1035,1028,1022,16,12,3,16,5,23,0.00,3,Fog,25
2015-2-28,3,0,-3,-6,-9,-12,75,55,35,1043,1040,1036,16,15,11,27,11,37,0.00,5,,55
2015-3-1,2,0,-2,1,-2,-9,96,75,53,1038,1033,1026,16,5,0,19,6,23,17.02,8,Rain,28
2015-3-2,16,9,1,6,1,-6,100,65,30,1028,1025,1022,16,9,0,21,8,34,T,6,Fog-Rain,291
2015-3-3,6,4,2,2,-2,-8,92,66,40,1030,1025,1019,16,10,1,23,9,32,1.78,8,Rain,107
2015-3-4,24,14,3,14,9,2,93,73,53,1018,1014,1010,16,8,0,48,22,63,0.51,7,Fog-Rain,227
2015-3-5,19,9,0,14,6,-4,89,79,68,1028,1016,1011,16,10,2,37,17,47,24.64,8,Rain,24
2015-3-6,3,-1,-4,-6,-10,-14,72,54,35,1034,1031,1028,16,16,16,27,9,39,0.00,3,,30
2015-3-7,14,4,-7,-2,-7,-9,84,54,24,1031,1028,1024,16,16,14,26,10,35,0.00,0,,235
2015-3-8,22,12,2,0,-3,-6,70,43,16,1025,1023,1021,16,16,16,26,8,35,0.00,3,,254
2015-3-9,18,14,9,4,2,0,56,44,31,1025,1023,1021,16,16,14,21,6,26,0.00,7,,235
