CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,2,-3,-9,-5,-10,-14,81,61,41,1028,1024,1022,16,16,14,29,17,35,0.00,6,,226
2015-1-2,3,1,-2,-1,-3,-4,85,75,64,1025,1021,1016,16,14,8,19,8,21,0.00,8,,186
2015-1-3,6,-1,-7,-1,-2,-8,96,77,57,1018,1013,1009,16,9,0,37,8,47,1.27,8,Snow,328
2015-1-4,-7,-11,-15,-8,-16,-20,91,71,51,1042,1030,1017,16,13,1,40,20,53,0.76,4,Snow,317
2015-1-5,-4,-9,-15,-10,-16,-19,76,63,49,1043,1033,1023,16,16,16,34,13,40,0.00,6,,172
2015-1-6,-2,-6,-10,-8,-12,-15,77,67,56,1037,1033,1025,16,14,2,34,18,47,0.51,7,Snow,328
2015-1-7,-8,-13,-19,-10,-19,-22,80,65,50,1052,1046,1035,16,15,4,40,23,55,T,5,Snow,340
2015-1-8,0,-9,-19,-6,-14,-22,79,64,49,1042,1027,1019,16,16,13,48,27,63,0.00,6,,238
2015-1-9,-6,-9,-13,-14,-18,-20,69,56,43,1037,1035,1031,16,16,10,42,18,58,0.00,1,,298
2015-1-10,3,-6,-14,-11,-16,-18,76,49,21,1033,1027,1023,16,16,13,40,23,48,0.00,2,,196
2015-1-11,4,1,-3,-1,-5,-11,89,70,50,1025,1023,1021,16,14,4,29,14,35,0.51,6,Rain-Snow,189
2015-1-12,0,-6,-13,-1,-12,-17,92,67,42,1040,1035,1026,16,15,4,29,20,37,T,3,Snow,11
2015-1-13,-3,-10,-17,-10,-14,-18,95,71,46,1041,1037,1032,16,16,11,21,10,24,0.00,3,,86
2015-1-14,4,-2,-7,-9,-10,-11,84,60,35,1032,1027,1023,16,16,10,21,11,27,0.00,5,,218
2015-1-15,9,0,-9,-3,-6,-11,92,62,32,1023,1022,1021,16,16,11,24,13,35,0.00,1,,246
2015-1-16,16,6,-4,-2,-3,-6,92,60,27,1023,1017,1011,16,16,14,37,19,45,0.00,1,,198
2015-1-17,12,7,2,0,-3,-5,70,51,32,1017,1012,1007,16,16,16,45,24,63,0.00,3,,264
2015-1-18,15,7,-1,-3,-5,-7,69,49,28,1018,1015,1013,16,16,11,23,11,31,0.00,2,,247
2015-1-19,18,7,-3,1,-3,-6,78,51,24,1015,1014,1010,16,16,10,34,13,45,0.00,2,,258
2015-1-20,11,6,1,-1,-3,-4,75,58,41,1020,1017,1014,16,16,16,26,12,32,0.00,2,,263
2015-1-21,11,4,-2,-2,-4,-5,85,59,33,1028,1024,1019,16,16,16,34,14,42,0.00,2,,304
2015-1-22,2,0,-3,-4,-5,-6,85,72,59,1034,1031,1028,16,16,16,16,7,21,0.00,7,,19
2015-1-23,8,1,-8,-3,-6,-8,92,67,42,1029,1021,1015,16,15,10,26,13,32,0.00,3,,209
2015-1-24,15,6,-3,6,-1,-6,92,64,36,1015,1010,1004,16,16,13,35,17,43,1.52,4,Rain,254
2015-1-25,7,2,-3,7,1,-3,92,84,76,1020,1011,1003,16,16,8,45,21,56,0.76,7,Rain,329
2015-1-26,16,6,-5,3,-1,-6,100,68,36,1020,1016,1013,16,15,8,35,14,42,0.00,1,,269
2015-1-27,13,6,-1,1,0,-1,96,67,38,1022,1020,1017,16,16,14,26,13,31,0.00,0,,87
2015-1-28,23,13,4,4,2,-1,70,50,29,1017,1010,1004,16,16,16,40,24,55,0.00,4,,186
2015-1-29,11,3,-4,3,-2,-6,79,67,55,1034,1027,1012,16,16,14,53,25,71,0.00,6,,337
2015-1-30,4,-2,-7,-5,-7,-8,92,68,44,1036,1032,1027,16,16,14,16,9,21,0.00,6,,124
2015-1-31,4,2,0,3,1,-5,100,82,64,1027,1020,1011,16,8,2,27,14,31,25.15,8,Rain-Snow,152
