EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,10,3,-4,0,-6,-9,75,52,28,1027,1024,1021,16,16,16,37,16,47,0.00,0,,229
2015-1-2,11,8,4,2,1,-2,73,57,41,1030,1026,1021,16,16,16,34,9,45,0.00,4,,271
2015-1-3,13,9,6,12,7,1,93,77,60,1031,1025,1021,16,8,0,23,10,31,1.78,8,Fog-Rain,76
2015-1-4,24,18,13,18,16,5,93,80,66,1020,1016,1010,16,13,1,47,26,63,1.52,6,Rain,213
2015-1-5,16,9,3,3,-4,-11,54,39,24,1031,1025,1015,16,16,16,27,15,40,0.00,0,,316
2015-1-6,11,6,1,0,-4,-8,76,56,35,1030,1023,1017,16,16,16,27,12,40,0.00,0,,50
2015-1-7,4,-1,-7,-2,-9,-21,82,57,31,1031,1021,1017,16,16,16,35,16,58,0.00,4,,341
2015-1-8,-4,-7,-10,-17,-21,-22,43,34,25,1037,1033,1029,16,16,16,39,15,60,0.00,0,,290
2015-1-9,8,1,-6,-6,-12,-18,52,39,25,1027,1023,1019,16,16,16,35,17,42,0.00,3,,237
2015-1-10,2,-3,-8,-6,-10,-14,65,51,36,1037,1033,1026,16,16,16,26,9,32,0.00,0,,6
2015-1-11,8,0,-8,-1,-7,-11,77,54,30,1040,1036,1033,16,16,16,16,5,21,0.00,1,,143
2015-1-12,16,10,4,14,8,-1,100,85,70,1033,1024,1019,16,8,0,26,7,35,27.18,8,Rain,202
2015-1-13,5,3,0,3,-1,-3,92,81,70,1031,1029,1022,16,9,2,47,31,56,1.02,8,Rain-Snow,16
2015-1-14,2,1,0,1,0,-2,92,87,82,1028,1023,1021,16,8,3,35,26,50,10.67,8,Rain-Snow,359
2015-1-15,3,2,0,0,-1,-2,89,82,75,1023,1021,1017,16,13,8,23,9,27,0.00,7,,325
2015-1-16,11,6,1,1,-1,-4,96,66,36,1023,1017,1015,16,13,3,24,11,35,0.00,2,,263
2015-1-17,7,3,0,2,-4,-8,79,64,49,1030,1027,1023,16,16,16,32,15,37,0.00,1,,75
2015-1-18,15,11,6,11,7,-1,93,75,56,1022,1013,1007,16,13,1,40,17,52,23.88,6,Rain,216
2015-1-19,10,6,2,1,-1,-2,79,63,46,1017,1015,1013,16,16,16,19,9,26,0.00,2,,224
2015-1-20,14,8,2,4,1,-1,89,65,40,1016,1013,1011,16,16,16,27,9,31,0.00,0,,103
2015-1-21,8,6,2,4,2,0,89,81,73,1022,1018,1016,16,14,6,32,17,42,0.00,5,,13
