MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-4,-11,-17,-8,-12,-21,91,74,56,1024,1020,1013,16,10,0,29,14,35,2.29,6,Fog-Snow,27
2015-1-2,2,-4,-11,-8,-11,-13,92,70,47,1024,1019,1014,16,16,16,26,9,29,0.00,2,,347
2015-1-3,5,-4,-13,-6,-11,-16,74,54,34,1027,1017,1010,16,16,14,58,21,68,T,4,Snow,3
2015-1-4,-1,-8,-16,-10,-13,-18,92,71,50,1034,1029,1022,16,14,8,24,5,27,T,5,Snow,130
2015-1-5,16,4,-7,-2,-6,-11,68,48,27,1029,1022,1015,16,16,16,53,15,74,0.00,6,,39
2015-1-6,13,5,-4,-1,-2,-4,92,65,38,1032,1029,1024,16,16,16,32,9,39,0.00,5,,179
2015-1-7,3,-3,-10,-3,-9,-12,100,85,70,1047,1038,1026,16,3,0,37,17,42,0.25,7,Fog-Snow,187
2015-1-8,15,3,-10,-2,-6,-13,92,58,24,1029,1023,1017,16,15,5,47,20,56,T,5,,41
2015-1-9,-5,-6,-7,-7,-7,-8,100,94,88,1034,1027,1019,4,2,0,32,13,37,0.25,8,Fog-Snow,167
2015-1-10,12,3,-6,-1,-7,-9,88,55,22,1022,1017,1014,16,13,0,26,13,29,0.00,4,Fog,225
2015-1-11,12,4,-4,1,-3,-8,100,64,28,1024,1019,1013,16,10,1,39,14,45,10.92,6,Fog-Rain-Snow,20
2015-1-12,-2,-4,-8,-2,-6,-9,100,92,84,1034,1029,1024,6,1,0,26,13,27,0.76,8,Fog-Snow,154
