EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,26,24,21,22,21,21,100,87,74,1023,1021,1020,16,13,6,27,9,32,4.57,6,Rain,97
2015-1-2,27,24,22,22,22,21,93,84,74,1024,1022,1021,16,16,14,32,19,39,1.02,5,Rain,125
2015-1-3,27,26,24,23,22,21,88,81,74,1024,1023,1021,16,16,16,37,24,43,0.00,5,,127
2015-1-4,27,25,23,23,22,21,94,82,69,1025,1023,1022,16,16,16,34,18,45,T,4,,139
2015-1-5,28,25,22,23,21,19,100,83,65,1027,1025,1024,16,16,13,29,11,35,11.94,5,Rain,38
2015-1-6,27,24,22,21,21,19,87,77,67,1026,1024,1022,16,16,16,21,13,29,T,4,Rain,91
2015-1-7,26,22,17,21,17,7,97,71,45,1022,1021,1019,16,16,16,21,10,27,0.00,5,,327
2015-1-8,22,17,13,15,11,6,77,63,49,1025,1023,1022,16,16,16,34,21,45,0.25,5,Rain,26
2015-1-9,26,22,18,19,16,14,100,75,50,1024,1022,1021,16,16,10,34,8,43,6.86,6,Rain,337
2015-1-10,24,19,14,18,17,14,100,84,68,1026,1024,1023,16,14,5,29,17,37,T,5,,13
2015-1-11,26,24,22,23,21,18,90,82,73,1026,1024,1022,16,14,4,39,25,50,9.65,6,Rain,88
2015-1-12,26,25,23,23,22,21,94,84,74,1023,1020,1018,16,16,13,37,22,47,0.51,7,Rain,120
2015-1-13,26,23,21,23,22,19,100,87,74,1020,1018,1016,16,11,1,39,9,43,50.04,6,Rain-Thunderstorm,80
2015-1-14,24,22,19,21,19,18,100,87,74,1019,1017,1015,16,10,0,21,11,27,T,6,Fog,357
2015-1-15,25,21,17,21,18,17,100,87,73,1020,1017,1016,16,15,11,23,11,29,0.00,7,,348
2015-1-16,22,18,14,16,14,11,93,77,61,1020,1017,1016,16,16,16,27,14,35,0.00,5,,343
2015-1-17,24,18,12,15,13,12,100,75,50,1022,1020,1019,16,16,16,27,15,34,0.00,2,,61
2015-1-18,25,21,16,17,14,10,93,68,43,1021,1019,1017,16,16,16,24,9,34,0.00,2,,320
2015-1-19,23,18,13,14,13,11,100,77,53,1022,1020,1019,16,16,13,26,12,35,0.00,3,,28
2015-1-20,22,21,19,17,14,13,78,68,57,1020,1017,1016,16,16,16,24,11,29,0.00,6,,140
2015-1-21,26,23,19,19,18,17,87,76,64,1019,1017,1015,16,16,16,23,11,29,0.00,3,,53
2015-1-22,26,23,21,19,18,16,84,73,62,1022,1020,1018,16,16,16,29,18,35,T,4,,100
2015-1-23,26,24,22,20,18,17,84,74,64,1020,1017,1015,16,16,16,34,21,43,0.00,5,,146
2015-1-24,25,19,14,22,17,10,93,78,63,1016,1014,1013,16,16,11,42,19,50,T,5,Rain,257
2015-1-25,19,14,9,10,6,3,100,67,34,1019,1017,1015,16,16,16,24,9,31,0.00,2,,300
2015-1-26,23,18,12,16,11,7,93,64,35,1015,1013,1011,16,15,5,45,18,56,1.27,2,Rain,260
2015-1-27,20,16,11,12,7,-1,83,56,28,1018,1016,1015,16,16,16,29,17,37,0.00,0,,286
2015-1-28,20,16,11,13,6,0,87,58,28,1023,1020,1017,16,16,16,29,15,40,0.00,1,,342
2015-1-29,22,17,11,12,10,9,89,68,47,1025,1023,1022,16,16,16,32,14,39,0.00,5,,29
2015-1-30,24,19,15,12,11,9,80,61,41,1024,1021,1020,16,16,16,23,8,27,0.00,4,,314
2015-1-31,23,18,14,13,11,9,84,66,47,1024,1023,1021,16,16,16,34,17,42,0.00,5,,42
2015-2-1,24,21,18,17,13,9,73,61,49,1023,1021,1018,16,16,16,35,24,48,0.00,4,,128
2015-2-2,28,24,19,21,18,14,87,69,51,1018,1016,1014,16,16,16,39,16,48,0.25,4,,228
2015-2-3,24,18,13,17,12,8,83,70,57,1022,1021,1018,16,16,16,27,17,39,0.00,3,,24
2015-2-4,24,22,19,20,16,13,79,70,61,1022,1019,1015,16,16,16,29,18,35,0.00,6,,115
2015-2-5,23,20,16,21,19,14,93,86,79,1017,1014,1011,16,14,1,34,20,43,30.23,7,Rain-Thunderstorm,259
2015-2-6,23,19,14,16,13,11,90,72,53,1022,1020,1017,16,16,16,35,19,47,1.02,5,Rain,25
2015-2-7,22,20,18,13,10,8,73,59,44,1024,1022,1021,16,16,16,34,21,42,T,6,Rain,72
2015-2-8,24,22,18,16,14,10,81,67,53,1021,1019,1016,16,16,16,29,16,39,0.00,3,,143
2015-2-9,26,22,17,20,18,14,93,72,50,1016,1010,1006,16,14,3,34,10,43,8.64,6,Rain-Thunderstorm,212
2015-2-10,23,19,14,19,14,8,100,72,44,1012,1007,1006,16,16,8,37,18,50,0.76,3,Rain,297
2015-2-11,22,17,11,13,11,9,96,70,44,1017,1015,1012,16,16,14,23,10,27,0.00,1,,329
2015-2-12,24,18,13,12,11,8,86,66,46,1020,1017,1016,16,16,16,23,11,31,0.00,1,,304
2015-2-13,23,17,12,12,9,7,93,66,38,1022,1019,1017,16,16,14,26,12,34,0.00,0,,314
2015-2-14,19,13,8,8,4,1,93,63,32,1023,1022,1021,16,16,10,27,11,37,0.00,1,,311
2015-2-15,23,16,8,12,9,5,80,58,35,1023,1022,1021,16,16,16,23,10,34,0.00,0,,336
2015-2-16,23,19,14,15,13,12,86,68,49,1022,1020,1016,16,16,16,39,16,47,0.00,3,,122
2015-2-17,28,23,18,19,17,15,93,71,49,1016,1014,1011,16,16,16,35,15,48,0.00,3,,224
2015-2-18,22,16,10,18,10,-1,93,62,30,1022,1017,1013,16,16,14,34,13,43,2.79,6,Rain,323
2015-2-19,14,11,7,4,-2,-7,71,47,23,1026,1024,1021,16,16,16,40,19,56,0.00,0,,322
2015-2-20,18,12,4,10,4,-6,67,55,43,1028,1026,1025,16,16,16,37,19,52,0.00,3,,359
2015-2-21,23,20,16,17,13,7,73,61,49,1026,1024,1022,16,16,16,40,28,50,0.00,7,,111
2015-2-22,26,23,21,21,19,17,90,79,67,1024,1022,1021,16,16,16,32,19,42,0.00,5,,134
2015-2-23,27,24,21,22,21,20,93,80,67,1023,1021,1018,16,16,16,23,9,29,0.00,4,,157
2015-2-24,29,24,18,20,18,14,100,73,46,1019,1016,1014,16,16,13,27,12,35,0.00,3,,273
2015-2-25,27,22,18,22,19,17,100,84,67,1015,1013,1010,16,15,8,32,15,39,0.00,4,,206
2015-2-26,29,26,22,22,21,19,93,76,58,1016,1012,1009,16,16,14,42,20,55,T,7,,238
2015-2-27,24,22,19,21,19,17,93,84,74,1022,1019,1015,16,16,14,26,14,31,T,7,Rain,357
2015-2-28,24,23,21,23,22,21,100,94,87,1026,1023,1021,16,12,1,37,21,43,56.64,7,Fog-Rain,81
2015-3-1,27,24,22,22,21,21,93,84,74,1027,1025,1024,16,16,16,34,21,39,0.25,3,,95
2015-3-2,27,24,22,21,20,19,90,79,67,1025,1023,1022,16,16,13,24,17,34,0.25,3,Rain,86
2015-3-3,27,24,22,21,20,19,90,81,71,1023,1021,1020,16,16,16,32,22,42,T,3,Rain,103
2015-3-4,27,25,23,22,21,20,87,81,74,1022,1020,1019,16,16,16,32,22,43,0.00,3,,126
2015-3-5,28,26,23,22,22,21,93,81,69,1021,1019,1017,16,16,16,35,18,43,0.00,3,,161
2015-3-6,28,25,22,22,22,21,93,81,69,1022,1021,1020,16,16,16,23,12,27,0.00,5,,103
2015-3-7,26,22,19,22,20,18,100,88,76,1024,1023,1022,16,14,6,34,18,45,5.33,7,Rain,19
2015-3-8,25,23,21,21,19,18,90,80,69,1024,1022,1021,16,16,14,34,22,40,0.76,7,Rain,62
2015-3-9,27,24,22,21,20,18,84,78,71,1022,1020,1019,16,16,16,29,21,35,T,3,Rain,89
2015-3-10,27,26,23,23,22,21,94,82,69,1022,1020,1019,16,16,13,34,26,42,T,4,Rain,113
2015-3-11,28,26,24,23,23,22,94,84,74,1022,1021,1020,16,16,13,35,23,43,0.51,4,,118
2015-3-12,28,26,23,23,22,21,94,82,69,1023,1021,1020,16,16,16,34,24,40,0.00,2,,108
2015-3-13,26,24,22,23,20,18,82,76,69,1023,1021,1020,16,15,6,45,31,53,3.81,4,Rain,107
2015-3-14,27,25,23,21,21,19,87,77,67,1022,1020,1018,16,16,16,35,21,43,1.52,4,Rain,131
2015-3-15,28,25,22,22,21,20,93,80,67,1022,1020,1019,16,16,16,21,10,27,0.00,2,,103
2015-3-16,27,25,22,22,21,19,93,80,67,1021,1020,1018,16,16,16,27,12,32,0.00,3,,93
2015-3-17,28,24,21,22,19,15,90,75,60,1019,1017,1014,16,16,16,29,11,35,0.00,2,,174
2015-3-18,29,24,19,22,19,16,93,76,58,1016,1015,1013,16,16,16,26,14,31,0.00,3,,255
2015-3-19,28,24,21,21,21,18,100,79,58,1018,1016,1014,16,16,13,27,12,34,T,4,Rain,211
2015-3-20,30,25,19,21,19,16,93,71,48,1020,1018,1016,16,16,16,26,11,32,0.00,1,,237
2015-3-21,29,25,20,21,18,17,87,69,51,1019,1017,1016,16,16,14,26,11,32,0.00,2,,222
2015-3-22,30,26,21,22,20,17,97,74,51,1017,1016,1013,16,16,16,26,13,35,0.00,4,,223
2015-3-23,31,26,21,21,19,16,97,70,43,1015,1014,1012,16,16,14,35,13,42,0.00,6,,259
2015-3-24,28,25,22,22,21,20,93,80,67,1018,1016,1014,16,15,8,24,11,32,0.00,6,,83
2015-3-25,30,26,21,22,20,17,100,74,48,1020,1018,1016,16,12,1,23,10,32,T,5,Fog,304
2015-3-26,29,26,22,23,22,20,87,74,61,1018,1016,1013,16,16,14,40,16,53,0.00,4,,166
2015-3-27,33,27,20,23,21,18,90,67,44,1014,1013,1009,16,16,8,52,20,85,3.30,5,Rain,229
2015-3-28,23,19,16,19,9,6,90,65,39,1023,1020,1015,16,16,16,34,16,45,T,6,,330
