CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,8,7,5,7,6,4,100,95,89,1026,1022,1019,16,7,3,29,16,39,T,8,Rain,341
2015-1-2,9,8,7,9,7,6,100,93,86,1021,1018,1015,16,10,3,19,10,23,T,8,Rain,325
2015-1-3,14,11,8,9,8,7,100,86,72,1021,1017,1015,16,14,3,23,9,29,0.25,6,,304
2015-1-4,17,12,6,8,6,4,100,74,48,1035,1029,1021,16,15,8,32,13,40,0.00,1,,354
2015-1-5,13,9,6,6,2,-1,86,70,54,1038,1035,1032,16,16,16,27,11,35,0.00,1,,355
2015-1-6,19,14,8,13,7,4,86,69,51,1032,1029,1027,16,16,16,11,4,16,0.00,1,,42
2015-1-7,20,15,10,15,11,2,90,70,50,1037,1030,1026,16,15,3,45,18,56,T,8,Rain,12
2015-1-8,11,8,4,2,-2,-7,70,57,43,1038,1033,1026,16,16,16,40,15,52,0.00,8,,341
2015-1-9,8,6,4,7,5,2,100,85,70,1031,1027,1024,16,8,2,32,18,45,2.79,8,Rain,339
2015-1-10,5,4,3,4,3,2,100,96,92,1031,1028,1025,16,10,3,39,21,48,15.49,8,Rain,326
2015-1-11,15,10,4,8,6,3,100,81,62,1025,1023,1020,16,14,3,19,8,23,0.00,5,,319
2015-1-12,20,12,4,11,7,4,100,78,56,1026,1023,1021,16,7,0,27,11,34,T,3,Fog-Rain,24
2015-1-13,10,9,7,8,6,4,93,85,77,1031,1028,1026,16,13,4,32,18,42,T,8,Rain,354
2015-1-14,8,8,7,7,6,4,93,85,76,1027,1026,1023,16,7,2,24,17,31,T,8,Rain,337
2015-1-15,14,11,7,7,6,5,93,77,61,1030,1027,1024,16,14,4,27,15,35,T,6,Rain,327
2015-1-16,19,13,6,8,6,5,92,66,40,1030,1027,1024,16,16,13,14,6,19,0.00,0,,265
2015-1-17,22,14,7,14,9,6,93,73,53,1024,1021,1018,16,12,3,19,5,26,0.00,0,,144
2015-1-18,22,17,12,13,9,4,93,67,40,1029,1025,1023,16,14,6,26,9,37,0.00,0,,360
2015-1-19,21,16,11,14,12,9,100,79,57,1023,1019,1015,16,9,0,19,6,23,T,3,Fog,129
2015-1-20,28,18,8,17,12,7,100,70,40,1016,1014,1011,16,9,1,24,9,31,0.00,1,Fog,131
