EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,1,-3,-8,-7,-11,-13,73,58,43,1026,1023,1019,16,16,16,39,24,47,0.00,5,,234
2015-1-2,4,0,-4,-1,-5,-7,89,71,52,1028,1025,1023,16,15,10,19,10,24,0.00,7,,196
2015-1-3,11,6,1,11,5,0,100,95,89,1022,1011,1006,16,5,2,26,13,35,20.07,8,Rain,159
2015-1-4,7,-2,-11,7,-1,-14,100,96,92,1032,1015,1006,16,11,1,50,31,60,0.25,8,Rain-Snow,263
2015-1-5,-10,-13,-16,-12,-17,-19,92,77,61,1040,1035,1027,16,13,2,39,17,48,2.79,5,Snow,255
2015-1-6,-7,-10,-13,-11,-13,-17,96,81,66,1029,1027,1024,16,11,1,32,14,37,2.03,8,Snow,342
2015-1-7,-11,-16,-21,-14,-20,-24,83,72,60,1044,1035,1026,16,14,3,50,29,60,T,4,Snow,296
2015-1-8,-7,-14,-22,-14,-20,-24,83,69,54,1042,1029,1015,16,15,2,50,26,60,T,6,Snow,214
2015-1-9,-6,-12,-17,-11,-17,-21,80,66,52,1034,1025,1014,16,14,2,52,30,64,T,4,Snow,277
2015-1-10,-4,-12,-19,-14,-18,-22,86,66,45,1036,1033,1030,16,16,16,32,16,42,0.00,2,,199
2015-1-11,1,-2,-6,-1,-7,-14,100,72,43,1029,1027,1024,16,12,2,26,13,31,10.92,8,Rain,182
2015-1-12,-1,-4,-7,-1,-3,-11,100,84,68,1035,1027,1023,16,9,1,37,17,47,4.83,8,Fog-Rain-Snow,347
2015-1-13,-5,-9,-13,-11,-13,-15,83,68,52,1038,1035,1031,16,15,3,27,19,35,T,3,Snow,47
