EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,3,-2,-8,-7,-11,-15,63,52,40,1025,1022,1018,16,16,16,39,19,53,0.00,4,,223
2015-1-2,3,-1,-4,-5,-7,-7,81,65,48,1029,1026,1023,16,16,16,21,7,24,0.00,6,,197
2015-1-3,15,7,-2,14,5,-4,100,86,72,1026,1015,1009,16,9,2,27,13,37,37.08,8,Rain-Thunderstorm,154
2015-1-4,14,6,-3,13,4,-7,93,80,66,1026,1012,1004,16,15,8,56,27,69,1.52,8,Rain-Snow,246
2015-1-5,-3,-7,-11,-7,-16,-18,81,65,49,1037,1033,1026,16,15,3,45,22,52,0.25,6,Snow,270
2015-1-6,-6,-8,-11,-10,-12,-16,88,75,62,1029,1026,1024,16,8,1,34,13,42,6.35,7,Snow,238
2015-1-7,-11,-13,-17,-16,-18,-22,79,63,46,1039,1030,1023,16,14,3,42,27,56,T,6,Snow,293
2015-1-8,-7,-14,-21,-14,-21,-25,75,63,51,1039,1029,1016,16,16,10,42,19,56,T,5,Snow,210
2015-1-9,-6,-11,-16,-9,-15,-21,84,68,52,1033,1022,1014,16,11,0,53,27,66,0.76,6,Fog-Snow,260
2015-1-10,-8,-13,-19,-17,-19,-22,79,65,51,1037,1035,1033,16,16,16,23,12,27,0.00,2,,194
2015-1-11,1,-3,-8,-1,-9,-16,85,64,43,1032,1030,1027,16,15,10,19,9,23,3.30,8,Rain,168
2015-1-12,1,-2,-4,1,-1,-9,100,87,74,1033,1026,1023,16,8,2,34,14,45,5.08,8,Rain-Snow,307
2015-1-13,-4,-7,-9,-9,-12,-14,74,64,54,1038,1035,1029,16,16,16,35,16,45,T,5,Snow,38
2015-1-14,-6,-9,-13,-11,-13,-16,83,72,61,1030,1028,1026,16,14,11,19,7,24,T,7,Snow,297
2015-1-15,1,-4,-9,-7,-9,-12,84,64,43,1025,1022,1019,16,13,8,24,8,29,0.00,4,,217
2015-1-16,2,-1,-5,-3,-5,-8,88,76,63,1024,1021,1017,16,12,10,23,9,26,0.00,6,,251
2015-1-17,9,3,-4,-1,-3,-6,85,66,46,1023,1017,1010,16,13,6,34,13,48,0.00,4,,162
2015-1-18,12,7,1,3,0,-2,100,75,49,1016,1011,1008,16,16,14,34,18,42,1.52,8,Rain,243
2015-1-19,6,1,-4,-2,-3,-4,92,74,55,1018,1016,1014,16,15,6,21,7,26,0.00,4,,226
2015-1-20,8,4,0,2,-1,-3,82,74,65,1016,1014,1012,16,14,6,19,5,23,0.25,7,Rain-Snow,44
2015-1-21,5,3,1,1,0,-1,96,83,70,1022,1017,1014,16,13,5,27,14,35,0.51,8,Rain,249
2015-1-22,2,1,-1,0,-3,-6,96,81,66,1031,1027,1021,16,10,4,23,9,26,T,8,Rain,315
2015-1-23,1,0,-2,-4,-5,-6,78,71,63,1030,1022,1011,16,16,13,13,3,16,0.00,8,,71
2015-1-24,3,0,-3,-1,-4,-6,89,77,64,1010,1007,1003,14,12,5,27,15,35,T,8,,269
2015-1-25,3,0,-3,1,-1,-5,96,86,75,1009,1008,1006,13,5,1,24,9,32,9.65,8,Rain-Snow,101
2015-1-26,-3,-7,-12,-6,-9,-14,92,82,71,1015,1010,1007,16,9,1,32,18,37,2.03,7,Snow,350
2015-1-27,-4,-9,-14,-11,-13,-16,88,75,62,1025,1019,1013,16,13,8,26,12,34,T,4,Snow,338
2015-1-28,-3,-9,-14,-10,-12,-17,91,73,55,1030,1027,1024,16,12,6,19,5,24,0.00,2,,146
2015-1-29,5,1,-4,2,-3,-10,92,77,62,1022,1015,1009,16,11,2,45,22,56,3.81,8,Rain-Snow,241
2015-1-30,0,-5,-10,-2,-8,-14,85,70,54,1032,1026,1019,16,13,0,40,19,61,0.76,6,Fog-Snow,320
2015-1-31,1,-5,-11,-5,-9,-13,84,72,59,1031,1028,1023,16,16,10,23,8,29,T,5,Snow,193
2015-2-1,5,2,-1,4,-1,-3,100,91,82,1024,1014,998,16,7,1,26,11,35,13.97,8,Fog-Rain-Snow,144
2015-2-2,5,-2,-10,4,-8,-16,100,79,57,1026,1010,998,16,12,3,42,23,53,0.51,6,Rain-Snow,300
2015-2-3,-1,-5,-10,-7,-11,-15,80,69,58,1028,1025,1021,16,16,16,26,12,34,0.00,6,,202
2015-2-4,6,1,-4,-1,-4,-7,92,72,51,1021,1018,1015,16,10,2,34,15,40,3.56,7,Rain-Snow,274
2015-2-5,-4,-8,-13,-7,-14,-18,88,71,53,1032,1028,1020,16,15,3,39,15,52,T,3,Snow,334
2015-2-6,-2,-7,-13,-8,-12,-17,73,63,53,1029,1026,1022,16,16,16,23,10,29,0.00,7,,200
2015-2-7,10,4,-2,-1,-5,-10,63,55,46,1021,1015,1009,16,16,16,29,12,40,0.00,6,,182
2015-2-8,13,8,3,8,3,-3,93,69,45,1009,1008,1006,16,11,3,34,16,52,3.05,8,Rain,217
2015-2-9,8,1,-6,7,-4,-9,100,87,74,1021,1014,1008,16,14,6,29,21,39,T,8,,351
2015-2-10,0,-3,-7,-7,-8,-9,84,74,63,1024,1022,1020,16,15,10,24,12,34,0.00,6,,355
2015-2-11,3,-2,-7,-1,-4,-9,91,78,64,1021,1017,1014,16,11,6,32,11,45,0.51,7,Rain,252
2015-2-12,0,-7,-13,-2,-9,-20,85,69,53,1030,1020,1014,16,11,2,47,22,53,1.02,7,Snow,316
2015-2-13,-3,-9,-16,-12,-15,-21,87,70,53,1030,1026,1016,16,16,14,24,7,34,0.00,4,,202
2015-2-14,-1,-8,-14,-3,-11,-21,92,71,50,1025,1009,1003,16,9,0,63,31,79,2.29,7,Fog-Snow,276
2015-2-15,-13,-16,-18,-21,-23,-24,66,58,49,1034,1032,1026,16,16,16,39,15,56,0.00,2,,350
2015-2-16,-12,-15,-18,-16,-19,-23,80,70,59,1032,1022,1014,16,9,2,23,13,29,1.78,8,Snow,61
2015-2-17,-7,-13,-20,-14,-18,-22,87,68,49,1018,1016,1014,16,14,8,26,10,34,0.00,4,,224
2015-2-18,-8,-12,-16,-11,-14,-21,88,71,53,1021,1012,1008,16,7,0,47,21,58,3.05,7,Fog-Snow,279
2015-2-19,-13,-16,-19,-19,-22,-24,69,62,55,1029,1025,1021,16,12,1,37,21,40,T,4,Snow,281
2015-2-20,-10,-16,-22,-19,-22,-25,83,64,45,1032,1029,1023,16,15,11,23,12,27,0.00,4,,179
