PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,12,6,0,-3,-5,-7,66,48,29,1024,1022,1018,16,16,16,16,6,18,0.00,0,,334
2015-1-2,17,9,0,-3,-7,-13,61,37,12,1022,1021,1018,16,16,16,14,5,18,0.00,0,,350
2015-1-3,16,9,2,-1,-2,-5,76,50,24,1027,1024,1022,16,16,16,13,6,18,0.00,0,,339
2015-1-4,18,11,3,0,-2,-5,76,49,21,1031,1029,1027,16,16,16,19,5,19,0.00,1,,329
2015-1-5,23,14,5,1,-3,-6,57,36,15,1029,1027,1025,16,16,16,16,7,19,0.00,0,,324
2015-1-6,26,16,7,-1,-3,-6,53,33,12,1026,1024,1022,16,16,16,16,7,19,0.00,0,,337
2015-1-7,29,19,10,4,1,-2,51,34,16,1023,1021,1018,16,16,16,19,6,19,0.00,0,,337
2015-1-8,27,19,11,6,3,1,51,36,20,1019,1016,1015,16,16,16,16,7,19,0.00,1,,340
2015-1-9,26,19,12,6,4,2,61,42,22,1017,1015,1014,16,16,16,16,5,21,T,2,,274
2015-1-10,22,17,11,7,5,3,66,49,31,1017,1015,1014,16,16,16,16,7,21,0.00,3,,16
2015-1-11,18,17,15,12,10,7,78,65,52,1020,1017,1016,16,16,11,16,4,31,T,8,,295
2015-1-12,22,18,13,12,9,7,86,62,38,1022,1020,1018,16,16,16,13,3,16,0.00,3,,293
2015-1-13,23,17,10,9,1,-5,83,50,17,1021,1020,1017,16,16,14,39,8,48,0.00,0,,314
2015-1-14,24,17,11,0,-2,-4,41,29,16,1025,1022,1021,16,16,16,16,6,27,0.00,0,,267
2015-1-15,24,17,9,2,-1,-3,42,31,19,1027,1025,1023,16,16,16,14,9,19,0.00,0,,342
2015-1-16,24,17,9,1,-2,-5,46,31,15,1024,1022,1020,16,16,16,16,7,18,0.00,0,,341
2015-1-17,26,18,10,0,-1,-4,48,31,14,1025,1023,1022,16,16,16,14,8,21,0.00,0,,330
2015-1-18,26,18,9,1,-1,-4,56,35,14,1025,1023,1022,16,16,16,19,6,19,0.00,2,,329
2015-1-19,27,18,10,4,1,-3,56,35,14,1022,1019,1017,16,16,16,14,6,19,0.00,1,,323
2015-1-20,26,18,11,4,1,-3,54,35,15,1017,1014,1012,16,16,16,16,6,18,0.00,2,,354
2015-1-21,26,20,14,6,-3,-12,51,31,11,1021,1016,1013,16,16,14,39,13,50,0.00,0,,317
2015-1-22,24,19,13,-8,-12,-16,17,12,6,1027,1024,1021,16,16,16,24,9,34,0.00,0,,303
2015-1-23,21,14,8,-7,-10,-14,28,19,10,1028,1025,1022,16,16,16,16,9,19,0.00,0,,3
2015-1-24,26,19,12,-7,-8,-12,19,15,10,1024,1021,1019,16,16,16,27,15,37,0.00,0,,315
2015-1-25,28,22,16,-1,-4,-8,20,16,11,1021,1019,1016,16,16,16,19,8,23,0.00,1,,292
2015-1-26,19,17,14,13,8,-1,60,44,28,1022,1020,1018,16,15,8,24,8,27,1.78,7,Rain,25
2015-1-27,22,18,14,13,12,9,93,72,51,1025,1023,1022,16,15,8,11,2,16,0.00,5,,1
2015-1-28,23,17,11,10,7,4,83,56,29,1023,1021,1020,16,16,16,14,6,16,0.00,1,,319
2015-1-29,24,21,16,9,6,3,60,43,25,1020,1017,1015,16,16,16,16,9,19,T,5,Rain,285
2015-1-30,19,17,14,13,10,6,80,61,42,1015,1013,1011,16,16,16,16,5,23,2.54,7,Rain,277
2015-1-31,22,18,14,11,7,4,80,56,31,1016,1013,1010,16,16,16,32,9,37,T,5,,309
2015-2-1,27,18,9,5,2,-4,55,34,13,1020,1018,1016,16,16,16,24,8,27,0.00,0,Rain,5
2015-2-2,27,18,10,4,1,-3,50,33,15,1021,1018,1016,16,16,16,16,8,19,0.00,1,,346
2015-2-3,28,19,11,6,2,-1,59,38,16,1019,1017,1015,16,16,16,14,7,24,0.00,0,,329
2015-2-4,29,20,11,6,3,-1,71,43,15,1020,1019,1017,16,16,16,19,7,21,0.00,0,,346
2015-2-5,28,20,11,3,1,-1,44,30,16,1020,1018,1016,16,16,16,16,8,21,0.00,0,,340
2015-2-6,28,21,13,3,1,-2,51,33,14,1020,1019,1017,16,16,16,16,6,21,0.00,0,,342
2015-2-7,29,21,12,11,3,-3,47,31,14,1020,1018,1016,16,16,16,14,6,19,0.00,0,,322
2015-2-8,31,23,15,11,8,6,67,44,21,1020,1018,1016,16,16,16,13,3,18,0.00,0,,292
2015-2-9,32,23,14,8,5,-1,67,42,16,1019,1016,1014,16,16,16,27,2,35,0.00,0,,305
2015-2-10,30,22,14,4,-1,-4,46,29,12,1017,1015,1013,16,16,16,26,10,32,0.00,0,,299
2015-2-11,29,22,16,-3,-7,-9,25,17,8,1021,1020,1017,16,16,16,34,17,39,0.00,0,,306
2015-2-12,28,23,17,-2,-4,-6,20,15,10,1024,1021,1019,16,16,16,21,10,27,0.00,0,,266
2015-2-13,31,23,15,0,-3,-7,25,17,8,1021,1019,1016,16,16,16,23,7,26,0.00,0,,297
2015-2-14,31,22,13,1,-2,-4,43,27,10,1020,1017,1014,16,16,16,16,8,21,0.00,0,,346
2015-2-15,27,21,13,9,4,0,55,39,22,1016,1014,1012,16,16,16,16,6,21,0.00,0,,49
2015-2-16,27,19,12,11,8,1,53,43,32,1016,1014,1011,16,16,16,19,8,21,0.00,0,,45
2015-2-17,27,20,12,10,5,-1,72,47,21,1021,1018,1015,16,16,16,19,6,24,0.00,0,,33
2015-2-18,29,21,13,4,2,1,40,29,17,1021,1019,1017,16,16,16,21,11,24,0.00,0,,13
2015-2-19,30,22,13,6,1,-2,57,35,13,1019,1016,1014,16,16,16,19,6,26,0.00,0,,20
2015-2-20,30,23,15,7,1,-6,42,27,12,1014,1012,1009,16,16,16,13,5,19,0.00,2,,204
2015-2-21,27,20,13,7,4,2,61,41,21,1012,1009,1006,16,16,11,24,7,29,0.00,1,,304
2015-2-22,22,18,13,11,6,2,51,40,28,1010,1009,1008,16,16,8,34,10,43,T,4,Rain,340
2015-2-23,20,16,11,12,7,2,93,64,35,1021,1016,1010,16,16,11,35,7,40,1.52,6,Rain,320
2015-2-24,24,17,9,5,-2,-10,71,41,11,1023,1021,1020,16,16,16,45,14,55,0.00,0,,337
2015-2-25,28,18,8,3,-2,-8,61,35,9,1022,1018,1014,16,16,16,14,6,21,0.00,0,,218
2015-2-26,28,19,11,6,2,-2,59,38,16,1013,1010,1007,16,16,16,27,5,35,0.00,0,,290
2015-2-27,24,18,12,7,6,4,71,49,27,1007,1005,1003,16,16,16,40,12,50,0.00,1,,355
2015-2-28,22,18,13,5,3,1,51,39,26,1012,1008,1004,16,16,16,32,13,42,0.00,1,,55
2015-3-1,15,13,12,11,8,4,83,65,47,1016,1015,1012,16,15,10,13,5,14,9.65,7,Rain,202
2015-3-2,17,13,10,11,8,5,89,69,48,1015,1013,1012,16,16,3,42,5,52,7.87,5,Rain,360
2015-3-3,21,14,7,6,3,-1,82,55,27,1015,1013,1011,16,16,16,14,4,19,0.00,2,Rain,315
2015-3-4,23,17,11,6,-6,-13,71,41,10,1023,1019,1015,16,16,16,26,8,32,0.00,0,,299
2015-3-5,25,18,11,-4,-7,-12,35,22,9,1027,1024,1023,16,16,16,16,8,23,0.00,0,,271
2015-3-6,29,21,13,-4,-9,-14,24,15,5,1023,1020,1017,16,16,16,27,14,35,0.00,0,,292
2015-3-7,31,24,17,-3,-8,-11,20,14,7,1018,1015,1013,16,16,16,19,10,21,0.00,0,,289
2015-3-8,32,23,14,2,-4,-9,27,17,7,1016,1013,1011,16,16,16,23,9,27,0.00,0,,316
2015-3-9,33,23,13,4,-3,-11,46,26,5,1013,1012,1010,16,16,16,26,8,32,0.00,0,,309
2015-3-10,32,23,14,3,-4,-13,35,20,5,1015,1013,1012,16,16,16,23,9,27,0.00,0,,320
2015-3-11,29,23,18,3,-1,-6,34,22,10,1018,1016,1015,16,16,16,19,4,26,0.00,2,,358
2015-3-12,32,26,19,3,1,-1,29,22,14,1019,1016,1015,16,16,16,37,15,45,0.00,0,,330
2015-3-13,33,27,20,6,-1,-3,31,21,10,1020,1018,1015,16,16,16,29,14,40,0.00,0,,340
2015-3-14,34,27,19,3,-1,-4,25,18,10,1020,1018,1015,16,16,16,21,9,27,0.00,0,,254
2015-3-15,33,26,18,4,1,-2,32,22,11,1019,1016,1013,16,16,16,26,11,37,0.00,0,,16
2015-3-16,33,26,19,2,-1,-6,30,19,8,1015,1013,1010,16,16,16,23,9,27,0.00,1,,349
2015-3-17,33,26,17,4,0,-3,40,25,10,1014,1012,1009,16,16,16,27,7,34,0.00,2,,336
2015-3-18,30,24,18,9,4,1,44,31,18,1014,1012,1010,16,16,16,39,8,45,0.00,2,,233
