MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-11,-18,-26,-14,-23,-34,85,62,30,1017,1014,1011,16,11,0,13,3,,0.51,3,,35
2015-1-2,-12,-19,-26,-13,-20,-32,100,73,43,1021,1017,1015,16,14,5,13,3,,0.00,2,,52
2015-1-3,-14,-22,-29,-17,-30,-34,100,45,23,1024,1017,1015,16,15,3,11,3,,0.00,2,,81
2015-1-4,-10,-18,-26,-14,-22,-34,79,60,32,1033,1030,1024,16,16,11,11,2,,0.00,3,,90
2015-1-5,-8,-15,-22,-12,-20,-34,100,68,28,1035,1033,1032,16,16,8,11,3,,0.00,0,,83
2015-1-6,-2,-8,-14,-6,-13,-22,100,76,52,1038,1036,1034,16,16,13,11,2,,0.00,0,,135
2015-1-7,-8,-12,-16,-9,-13,-21,100,84,56,1040,1036,1033,16,6,0,8,2,,0.00,7,,72
2015-1-8,-8,-14,-20,-11,-16,-29,100,81,42,1033,1028,1026,16,9,0,11,2,,0.00,4,,60
2015-1-9,-12,-18,-23,-13,-22,-33,100,68,32,1029,1026,1025,16,13,0,10,3,,0.00,2,,79
2015-1-10,-11,-17,-23,-12,-21,-34,100,72,34,1026,1023,1021,16,14,0,11,3,,0.00,2,,64
2015-1-11,-4,-10,-16,-8,-13,-20,93,79,58,1024,1021,1019,16,13,1,8,0,,0.76,6,,130
2015-1-12,-3,-8,-13,-5,-9,-18,100,82,67,1027,1024,1021,16,13,0,11,2,,0.00,4,,46
2015-1-13,1,-3,-7,-2,-7,-10,93,81,69,1022,1020,1019,16,13,2,13,6,,0.25,3,,48
2015-1-14,-3,-10,-16,-7,-13,-23,100,76,48,1029,1024,1022,16,15,1,11,2,,0.00,2,,61
2015-1-15,-7,-12,-17,-10,-14,-22,100,78,56,1035,1032,1029,16,15,1,23,5,,0.00,6,,11
2015-1-16,-12,-14,-17,-13,-18,-25,100,81,51,1034,1029,1024,16,10,1,11,6,,0.00,5,,42
