CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,4,-3,-10,-8,-11,-15,81,59,37,1023,1021,1017,16,16,16,35,17,42,0.00,3,,253
2015-1-2,1,-3,-8,-4,-7,-10,84,70,56,1026,1022,1018,16,16,14,19,8,24,T,6,Snow,126
2015-1-3,5,-2,-8,-2,-4,-12,85,72,59,1017,1013,1010,16,13,6,40,11,52,T,8,Snow,162
2015-1-4,-8,-12,-16,-12,-18,-22,84,68,52,1040,1028,1015,16,10,1,47,29,56,2.03,5,Snow,326
2015-1-5,-11,-14,-17,-14,-17,-22,83,73,62,1042,1031,1023,16,7,0,24,14,32,8.64,7,Snow,175
2015-1-6,-10,-14,-19,-14,-17,-22,87,77,66,1038,1033,1025,16,12,2,47,17,61,T,7,Snow,316
2015-1-7,-13,-18,-22,-18,-24,-26,76,65,53,1051,1047,1037,16,14,5,45,23,56,T,3,Snow,317
2015-1-8,-3,-12,-22,-8,-16,-26,75,63,51,1040,1022,1011,16,11,2,69,33,84,0.25,7,Snow,278
2015-1-9,-11,-13,-17,-15,-19,-22,75,64,52,1034,1032,1025,16,14,2,50,24,63,T,2,Snow,301
2015-1-10,1,-8,-18,-10,-16,-22,75,56,36,1032,1024,1019,16,16,16,42,17,53,0.00,3,,201
2015-1-11,2,-3,-8,-8,-11,-13,77,61,44,1029,1024,1021,16,16,16,23,10,27,0.00,5,,271
2015-1-12,-7,-12,-17,-13,-17,-21,79,66,53,1044,1038,1028,16,16,16,29,17,39,0.00,2,,7
2015-1-13,-7,-14,-21,-12,-17,-24,79,68,56,1043,1038,1031,16,16,16,16,7,23,0.00,2,,129
2015-1-14,-2,-5,-8,-8,-10,-12,84,69,53,1030,1026,1022,16,15,10,23,11,26,0.00,6,,238
2015-1-15,6,-1,-7,-1,-5,-9,85,69,53,1022,1020,1019,16,16,11,35,14,40,0.00,1,,268
2015-1-16,14,5,-4,0,-3,-7,88,62,35,1022,1014,1007,16,16,14,32,16,43,0.00,2,,192
2015-1-17,9,6,3,1,-1,-3,76,59,42,1011,1008,1004,16,16,16,56,28,74,0.25,6,Rain,279
2015-1-18,10,4,-1,-2,-3,-4,75,59,42,1016,1014,1011,16,16,16,27,9,35,0.00,4,,292
2015-1-19,8,2,-3,2,-2,-6,85,72,58,1015,1014,1011,16,16,16,24,9,27,T,4,Rain,185
2015-1-20,10,4,-1,1,-2,-3,82,68,53,1016,1015,1013,16,16,16,45,16,53,T,4,Rain,291
