EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,9,4,-2,-3,-8,-9,53,40,26,1027,1024,1021,16,16,16,34,15,40,0.00,3,,234
2015-1-2,11,8,4,2,-2,-5,65,49,32,1030,1026,1022,16,16,16,23,7,26,T,8,,235
2015-1-3,9,7,5,7,4,-2,86,70,53,1033,1027,1021,16,9,1,16,6,21,2.29,8,Fog-Rain,33
2015-1-4,21,14,7,15,9,1,96,74,51,1021,1016,1010,16,9,0,50,19,63,1.52,8,Fog-Rain,218
2015-1-5,13,6,-2,-1,-7,-13,50,36,21,1032,1026,1017,16,16,16,39,18,53,0.00,3,,306
2015-1-6,7,2,-2,-6,-8,-13,75,50,25,1030,1024,1019,16,16,16,23,7,29,0.00,6,,54
2015-1-7,2,-3,-8,-4,-13,-23,78,53,27,1033,1023,1017,16,16,16,45,21,60,0.00,5,,309
2015-1-8,-3,-7,-11,-17,-20,-23,48,36,23,1037,1034,1027,16,16,16,35,13,45,0.00,2,,245
2015-1-9,8,2,-5,-9,-14,-17,47,33,19,1027,1022,1020,16,16,16,35,19,53,0.00,4,,249
2015-1-10,2,-2,-7,-12,-15,-19,62,41,20,1037,1034,1027,16,16,16,19,5,23,0.00,0,,331
2015-1-11,7,-1,-8,-6,-10,-12,84,55,25,1040,1037,1034,16,16,16,16,7,24,T,5,Rain,157
2015-1-12,7,4,2,6,3,-3,100,82,64,1033,1025,1020,16,7,1,24,7,34,18.03,8,Fog-Rain,8
2015-1-13,6,2,-1,4,-2,-8,89,70,51,1034,1030,1024,16,15,4,32,19,40,T,8,Rain,26
2015-1-14,-1,-2,-3,-2,-3,-6,92,89,85,1031,1027,1024,11,6,3,26,15,35,5.59,8,Rain,355
2015-1-15,3,1,-1,1,-1,-3,92,84,75,1024,1021,1017,16,10,4,13,6,16,T,8,Snow,228
2015-1-16,12,4,-3,2,-2,-6,100,68,35,1024,1018,1015,16,15,8,32,10,40,0.00,2,Fog,293
2015-1-17,7,2,-3,1,-4,-7,82,64,45,1031,1027,1023,16,16,16,24,9,29,0.00,2,,140
2015-1-18,13,8,4,9,4,-2,100,73,46,1022,1014,1008,16,10,2,26,9,32,39.12,6,Rain,213
2015-1-19,13,7,1,0,-2,-3,89,62,35,1017,1015,1013,16,16,16,21,7,27,0.00,3,,250
2015-1-20,16,8,-1,3,1,-2,92,65,37,1017,1014,1012,16,16,13,21,6,27,0.00,5,,14
2015-1-21,6,2,-3,1,0,-3,100,84,67,1023,1020,1017,16,13,5,23,8,26,T,6,Rain,22
2015-1-22,11,4,-3,2,-1,-3,100,72,44,1029,1026,1022,16,8,0,21,5,26,0.00,5,Fog,17
2015-1-23,6,3,1,3,-1,-3,100,77,53,1030,1023,1010,16,11,2,19,6,24,11.94,8,Rain,81
2015-1-24,7,4,2,5,2,-4,100,80,59,1007,1002,998,16,13,3,29,16,39,9.14,6,Rain,304
2015-1-25,12,6,0,2,-1,-3,76,61,45,1013,1011,1008,16,16,16,24,12,29,0.00,5,,207
2015-1-26,11,5,-1,6,2,-2,100,86,71,1010,1006,1003,16,14,6,34,15,42,0.76,8,Rain-Snow,20
2015-1-27,4,2,-1,-2,-4,-7,92,73,54,1016,1009,1006,16,12,3,37,21,48,0.25,8,Snow,342
2015-1-28,7,2,-4,-7,-13,-17,63,41,18,1028,1023,1016,16,16,16,35,17,48,0.00,1,,345
2015-1-29,6,0,-6,-6,-10,-14,74,52,29,1028,1024,1016,16,16,16,24,11,32,T,6,,173
2015-1-30,8,2,-4,-3,-7,-14,55,43,30,1026,1018,1013,16,16,16,50,20,69,0.00,5,,319
2015-1-31,6,-1,-7,-9,-13,-16,62,41,19,1029,1027,1025,16,16,16,16,8,,0.00,2,,313
2015-2-1,10,3,-4,2,-6,-10,75,52,29,1027,1022,1009,16,16,16,23,10,29,T,7,Rain,146
