MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-16,-23,-30,-18,-27,-32,92,86,76,1021,1020,1018,16,16,8,14,6,,0.00,0,,11
2015-1-2,-12,-19,-27,-13,-21,-28,92,88,79,1020,1018,1013,16,14,3,16,8,,0.00,3,,9
2015-1-3,-6,-9,-12,-8,-11,-13,100,92,80,1021,1016,1013,16,11,2,21,3,,0.76,7,Snow,279
2015-1-4,-2,-4,-7,-2,-5,-9,100,94,86,1025,1022,1020,16,5,1,39,16,53,0.51,8,Snow,192
2015-1-5,2,0,-2,1,-1,-3,100,95,81,1031,1024,1020,16,7,1,47,31,60,3.81,8,Snow,185
2015-1-6,5,-1,-6,1,-1,-6,100,90,70,1033,1031,1030,16,15,1,29,16,37,0.25,6,,218
2015-1-7,-1,-4,-7,-2,-4,-7,100,99,93,1035,1032,1026,16,11,0,16,6,,0.00,6,,16
2015-1-8,-3,-6,-7,-3,-6,-8,100,99,93,1026,1025,1023,16,4,0,21,6,,0.00,8,Fog,6
2015-1-9,-5,-7,-8,-5,-6,-8,100,99,93,1025,1023,1019,16,8,0,14,3,,0.00,8,Snow,40
2015-1-10,-6,-8,-9,-7,-8,-9,100,98,86,1019,1018,1016,16,10,3,13,6,,0.00,8,,24
2015-1-11,-2,-6,-8,-2,-5,-9,100,98,93,1020,1017,1015,16,13,2,11,5,,0.00,8,Snow,13
2015-1-12,-1,-7,-12,-1,-4,-12,100,98,92,1022,1021,1019,16,15,2,19,5,,0.51,5,,17
2015-1-13,-8,-13,-18,-10,-15,-19,100,95,85,1027,1024,1021,16,15,0,21,10,,0.00,0,Fog,7
2015-1-14,-11,-16,-20,-11,-17,-21,100,94,85,1030,1027,1026,16,16,6,19,10,,0.00,3,,6
2015-1-15,-11,-17,-23,-13,-19,-24,100,92,79,1032,1029,1019,16,16,16,19,10,,0.00,1,,10
2015-1-16,0,-6,-12,-1,-5,-13,100,94,69,1025,1020,1015,16,9,1,37,10,48,0.76,8,Snow,178
