CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,0,-4,-8,-3,-8,-13,85,71,57,1030,1025,1022,16,14,10,23,13,27,T,8,,206
2015-1-2,3,1,-1,-2,-2,-3,92,81,70,1024,1021,1016,16,9,3,23,9,27,T,8,Snow,174
2015-1-3,5,-2,-9,-1,-3,-13,89,70,51,1023,1014,1008,16,5,1,58,14,71,7.87,8,Fog-Rain-Snow,313
2015-1-4,-8,-11,-14,-14,-17,-19,76,63,49,1042,1036,1024,16,15,3,60,22,79,T,3,Snow,349
2015-1-5,2,-7,-16,-5,-12,-18,73,64,54,1042,1032,1022,16,16,16,35,15,43,0.00,5,,158
2015-1-6,-1,-4,-7,-6,-10,-13,88,67,46,1037,1033,1028,16,16,16,40,15,52,0.00,4,,350
2015-1-7,-4,-11,-18,-11,-17,-21,75,61,46,1053,1048,1038,16,15,8,48,25,63,T,4,Snow,357
2015-1-8,3,-7,-17,-6,-12,-19,79,62,45,1042,1028,1021,16,16,16,53,24,64,0.00,3,,193
2015-1-9,-2,-7,-12,-12,-17,-19,61,44,27,1039,1036,1032,16,16,16,42,18,56,0.00,2,,345
2015-1-10,3,-4,-12,-12,-13,-17,61,47,32,1033,1026,1021,16,16,16,45,25,55,0.00,1,,180
2015-1-11,2,-1,-3,1,-2,-12,96,71,46,1025,1021,1017,16,7,1,29,15,37,T,7,Rain,169
2015-1-12,1,-3,-7,1,-9,-17,100,69,38,1038,1032,1024,16,14,3,39,24,50,0.00,6,,6
2015-1-13,1,-4,-11,-13,-16,-17,67,46,25,1038,1035,1031,16,16,16,24,11,29,0.00,7,,51
2015-1-14,4,0,-5,-6,-8,-12,88,64,40,1031,1028,1024,16,14,2,19,8,23,0.25,6,Snow,232
2015-1-15,12,2,-8,-3,-6,-11,84,58,32,1026,1024,1023,16,16,16,27,10,35,0.00,0,,267
2015-1-16,18,7,-5,-3,-6,-8,81,50,19,1024,1019,1012,16,16,16,35,18,43,0.00,0,,186
2015-1-17,16,7,-3,0,-5,-8,78,49,20,1022,1015,1009,16,16,16,53,23,69,0.00,1,,292
2015-1-18,18,7,-4,-4,-6,-8,75,47,19,1022,1017,1013,16,16,16,35,16,43,0.00,3,,244
2015-1-19,23,10,-3,2,-3,-7,76,47,17,1017,1015,1013,16,16,16,35,11,42,0.00,4,,308
2015-1-20,12,6,0,8,2,-2,100,77,53,1022,1020,1016,16,16,13,24,12,29,3.05,5,Rain,299
2015-1-21,8,4,-1,-2,-3,-4,82,62,42,1028,1025,1022,16,16,16,19,12,23,0.00,7,,333
2015-1-22,8,2,-5,-3,-6,-8,78,59,40,1033,1030,1028,16,16,16,27,12,35,0.00,4,,19
2015-1-23,11,2,-7,-3,-7,-9,84,55,26,1028,1022,1018,16,15,11,27,13,35,0.00,1,,227
2015-1-24,19,9,-1,1,-2,-4,78,51,24,1020,1014,1009,16,16,16,39,19,48,T,4,,283
2015-1-25,12,5,-3,2,-2,-5,78,60,41,1022,1015,1009,16,16,16,61,30,77,T,4,,329
2015-1-26,23,10,-4,2,-1,-6,92,58,23,1021,1018,1015,16,16,16,37,14,42,0.00,0,,284
2015-1-27,23,12,0,3,1,-3,82,55,27,1021,1017,1015,16,16,16,29,14,35,0.00,0,,187
2015-1-28,22,13,3,3,1,-2,79,52,25,1016,1012,1008,16,16,16,37,19,45,0.00,4,Rain,217
2015-1-29,14,6,-2,1,-3,-6,69,51,33,1035,1029,1018,16,16,16,58,25,71,0.00,3,,351
2015-1-30,6,0,-6,-2,-4,-9,81,65,49,1035,1032,1025,16,16,16,16,8,21,T,7,Rain,163
2015-1-31,5,3,2,5,1,-4,100,77,54,1025,1017,1009,16,10,6,29,18,40,17.02,8,Rain-Snow,168
2015-2-1,6,-3,-11,5,-7,-16,100,79,57,1030,1019,1007,16,15,6,61,39,79,0.51,8,Rain-Snow,326
2015-2-2,0,-7,-14,-7,-12,-17,80,65,49,1031,1027,1022,16,16,16,32,17,39,T,2,,208
2015-2-3,13,3,-7,0,-4,-8,84,61,38,1023,1019,1015,16,16,16,40,19,55,0.00,2,,187
2015-2-4,3,-2,-8,0,-7,-14,89,76,62,1035,1025,1014,16,14,2,53,25,68,0.25,7,Snow,29
