PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,13,8,3,-3,-7,-10,54,37,20,1022,1020,1018,16,16,16,37,13,45,0.00,1,,40
2015-1-2,10,5,0,2,-1,-4,76,64,52,1024,1022,1020,16,16,14,13,6,16,0.00,1,,63
2015-1-3,12,6,0,3,1,-2,82,66,50,1027,1025,1023,16,15,13,19,4,23,0.00,1,,305
2015-1-4,12,7,2,6,3,1,85,72,59,1031,1029,1027,16,14,10,23,5,27,0.00,5,,154
2015-1-5,13,8,2,6,3,0,85,68,50,1029,1027,1024,16,14,10,13,5,14,0.00,4,,170
2015-1-6,15,9,3,7,4,2,92,72,51,1026,1023,1022,16,13,8,13,4,19,0.00,0,,224
2015-1-7,18,11,3,8,6,3,92,69,46,1024,1021,1019,16,15,13,13,3,14,0.00,1,,235
2015-1-8,16,11,6,9,7,3,92,76,60,1019,1017,1016,16,13,8,13,3,14,0.00,6,,332
2015-1-9,17,13,8,10,8,7,96,74,52,1017,1016,1015,16,11,5,14,6,19,0.00,7,,299
2015-1-10,16,12,8,11,9,7,93,83,72,1017,1016,1014,16,12,6,13,5,16,0.00,6,Fog,280
2015-1-11,14,10,6,10,8,6,96,87,77,1022,1019,1016,16,9,0,13,5,40,0.00,5,Fog,143
2015-1-12,14,9,5,10,8,5,96,87,77,1025,1023,1022,16,11,1,13,2,16,0.00,3,Fog,246
2015-1-13,19,13,6,9,6,3,100,69,37,1024,1022,1020,16,9,0,26,5,34,0.00,2,Fog,135
2015-1-14,15,9,4,8,6,2,93,78,62,1026,1023,1021,16,11,6,19,5,21,0.00,3,,47
2015-1-15,15,10,4,9,7,4,100,84,67,1027,1025,1024,10,6,1,21,6,26,0.00,5,Fog,287
2015-1-16,14,10,6,11,9,6,96,84,72,1026,1025,1024,13,7,3,16,5,19,T,6,Fog-Rain,349
2015-1-17,14,12,9,11,9,8,96,84,72,1026,1025,1023,16,11,6,19,8,24,0.00,5,,188
2015-1-18,18,14,9,13,11,9,100,87,73,1027,1026,1025,16,8,0,21,6,23,0.00,6,Fog,302
2015-1-19,17,13,8,12,10,7,93,77,60,1027,1024,1022,16,14,6,23,7,26,0.00,5,,9
2015-1-20,14,11,7,9,8,6,100,86,72,1022,1020,1018,16,9,0,11,4,,0.00,2,Fog,282
2015-1-21,16,11,4,7,5,3,92,73,53,1022,1020,1019,16,16,13,23,8,26,0.00,1,,42
2015-1-22,16,11,5,8,6,2,89,73,57,1028,1025,1022,16,14,10,23,9,29,0.00,2,,83
2015-1-23,18,11,4,9,6,3,89,66,43,1028,1026,1024,16,14,8,16,5,24,0.00,1,,302
2015-1-24,21,14,8,8,7,3,93,63,33,1024,1022,1019,16,15,11,35,12,42,0.00,0,,2
2015-1-25,15,10,4,7,5,3,86,70,53,1021,1019,1016,16,15,11,14,6,19,0.00,0,,47
2015-1-26,16,11,5,9,7,3,92,72,51,1017,1016,1015,16,16,14,14,5,23,0.00,5,,310
2015-1-27,19,14,8,9,8,6,83,64,44,1025,1022,1017,16,16,16,19,6,21,0.00,6,,9
2015-1-28,17,12,6,11,8,6,93,73,52,1025,1023,1022,16,16,10,14,4,19,0.00,2,Fog,265
2015-1-29,18,12,6,11,9,5,96,81,65,1022,1020,1018,16,14,10,13,5,23,0.00,1,Fog,273
2015-1-30,17,12,8,11,9,7,100,87,67,1018,1015,1013,16,14,8,26,7,27,0.00,3,Fog,269
2015-1-31,23,15,7,9,4,-2,100,61,22,1018,1015,1013,16,16,11,24,7,32,0.00,1,Fog,276
2015-2-1,18,12,4,9,6,3,83,62,40,1022,1020,1018,16,16,14,19,5,23,0.00,5,,284
2015-2-2,18,12,6,11,8,5,100,83,65,1023,1021,1019,16,13,10,14,4,19,0.00,4,,268
2015-2-3,19,14,8,11,10,8,93,76,58,1021,1019,1017,16,15,10,21,5,24,0.00,5,,276
2015-2-4,18,13,8,12,10,7,100,86,72,1019,1018,1016,16,9,1,24,7,27,0.00,5,Fog,254
2015-2-5,17,13,9,10,9,8,89,75,60,1017,1015,1012,16,16,13,45,9,56,0.00,7,,141
2015-2-6,17,16,14,14,12,8,93,77,60,1013,1011,1009,16,10,2,53,35,64,23.11,8,Rain,150
2015-2-7,18,15,12,16,14,11,93,89,84,1019,1016,1013,16,15,6,45,9,56,0.76,6,Rain,182
2015-2-8,17,14,12,14,13,11,93,83,72,1018,1014,1012,16,12,2,58,24,71,25.15,7,Rain,156
2015-2-9,18,14,9,13,11,7,89,78,67,1025,1023,1019,16,16,11,35,13,42,T,4,,229
2015-2-10,17,12,7,10,7,5,93,71,49,1024,1022,1019,16,16,16,19,6,23,0.00,3,Fog,292
2015-2-11,18,12,6,10,8,5,96,78,60,1022,1021,1020,16,16,16,13,5,16,0.00,4,,210
2015-2-12,21,14,8,12,9,7,83,68,52,1023,1022,1020,16,16,16,14,4,27,0.00,3,,278
2015-2-13,21,14,8,12,10,6,89,70,51,1022,1019,1018,16,16,16,16,5,21,0.00,1,,304
2015-2-14,22,15,8,12,10,8,96,75,53,1020,1018,1017,16,16,16,19,6,23,0.00,1,,324
2015-2-15,21,14,7,11,8,5,93,67,40,1018,1016,1015,16,16,16,14,5,21,0.00,2,,206
2015-2-16,22,15,8,12,9,6,93,73,53,1017,1016,1014,16,15,10,27,10,32,0.00,3,,313
2015-2-17,14,13,12,11,9,7,93,80,66,1022,1020,1017,16,13,6,16,9,21,T,8,,281
2015-2-18,18,14,10,12,9,7,93,79,64,1024,1022,1020,16,16,11,19,8,21,0.00,4,,288
2015-2-19,16,13,10,11,11,10,96,84,72,1022,1020,1018,16,14,6,23,7,27,0.00,7,,271
2015-2-20,18,15,11,12,11,8,93,73,52,1019,1016,1014,16,14,6,19,5,24,T,4,,220
2015-2-21,20,14,8,11,8,4,93,67,40,1015,1013,1010,16,16,14,27,8,34,0.00,2,,319
2015-2-22,19,13,7,9,2,-7,100,61,22,1012,1011,1010,16,14,0,39,13,56,0.00,1,Fog,360
2015-2-23,18,12,7,-2,-7,-11,53,35,17,1024,1018,1012,16,16,16,39,11,50,0.00,1,,353
2015-2-24,18,10,2,9,3,-6,89,58,27,1028,1026,1024,16,16,16,19,8,27,0.00,2,Fog,244
2015-2-25,18,13,7,10,7,5,93,70,46,1026,1024,1019,16,16,13,27,8,32,0.00,3,,260
2015-2-26,19,13,7,11,9,6,93,76,58,1019,1016,1013,16,14,10,26,9,34,0.00,3,,259
2015-2-27,17,13,9,10,8,6,80,68,56,1013,1010,1007,16,16,16,61,30,72,0.00,2,,288
2015-2-28,15,11,7,8,7,5,92,74,55,1013,1009,1007,16,15,6,35,11,40,1.78,4,Rain-Thunderstorm,257
2015-3-1,17,12,7,8,5,1,92,64,36,1016,1014,1013,16,16,16,27,11,34,0.00,1,,294
2015-3-2,15,11,7,8,7,4,86,69,51,1015,1011,1009,16,16,16,24,9,37,T,5,,174
2015-3-3,18,12,6,8,6,4,89,71,52,1018,1016,1015,16,16,16,26,8,29,0.00,2,,282
2015-3-4,19,12,5,8,4,2,89,61,32,1024,1020,1017,16,16,16,11,6,,0.00,0,,294
2015-3-5,21,13,6,8,5,2,76,57,37,1028,1025,1024,16,16,16,21,7,,0.00,0,,312
2015-3-6,22,14,6,10,6,2,83,60,37,1026,1024,1021,16,16,16,16,7,,0.00,0,,306
2015-3-7,22,14,7,11,8,5,89,65,41,1021,1019,1016,16,16,16,21,9,48,0.00,1,,292
2015-3-8,18,13,7,11,9,6,93,77,60,1020,1018,1016,16,14,8,29,11,34,0.00,3,Fog,285
2015-3-9,18,14,9,11,9,8,100,82,63,1019,1016,1013,16,15,10,24,10,27,0.00,5,,268
2015-3-10,17,13,9,11,10,8,100,86,72,1017,1014,1013,16,8,1,40,9,47,0.00,8,Fog,292
2015-3-11,18,14,11,13,11,6,100,72,44,1025,1021,1016,16,16,13,24,9,27,0.51,5,Rain,308
2015-3-12,23,16,8,12,11,8,100,72,44,1026,1023,1021,16,16,16,23,8,24,0.00,3,,282
2015-3-13,23,16,9,13,11,8,93,66,38,1022,1021,1019,16,16,16,24,6,32,0.00,5,,291
2015-3-14,27,19,11,14,11,7,93,66,38,1020,1017,1014,16,16,16,21,8,24,0.00,6,,297
2015-3-15,21,17,12,12,8,5,83,62,40,1019,1017,1015,16,16,16,32,9,37,0.00,6,,308
