PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,4,-1,-6,-3,-6,-8,92,73,54,1031,1027,1024,16,16,16,11,2,14,0.00,1,,359
2015-1-2,5,2,-1,2,1,-3,92,78,64,1024,1021,1018,16,7,3,29,6,42,5.33,8,Rain,149
2015-1-3,4,2,1,2,1,0,96,91,85,1027,1025,1023,13,5,1,11,3,13,0.51,8,Rain,11
2015-1-4,11,6,1,8,2,-2,96,88,80,1025,1020,1011,16,11,6,39,16,60,31.75,8,Rain,36
2015-1-5,12,7,2,9,3,1,100,92,83,1025,1021,1012,16,7,2,24,6,37,30.23,8,Rain,356
2015-1-6,12,7,2,9,5,1,93,88,82,1028,1026,1025,16,15,6,23,8,27,0.00,3,,22
2015-1-7,9,5,1,5,2,0,96,84,71,1028,1026,1025,16,8,0,14,6,19,0.00,4,Fog,337
2015-1-8,9,4,-1,4,1,-1,100,86,71,1026,1022,1020,16,4,0,10,1,13,0.00,3,Fog,179
2015-1-9,9,5,0,4,1,-1,96,79,61,1021,1019,1017,16,7,0,11,2,13,0.25,2,,12
2015-1-10,6,5,4,5,4,2,93,89,85,1020,1017,1016,16,6,2,10,3,11,2.29,8,Rain,3
2015-1-11,7,6,4,5,4,3,96,89,82,1025,1021,1018,16,10,2,10,2,19,2.54,8,Rain,5
2015-1-12,10,6,1,3,2,0,100,83,66,1032,1028,1024,16,14,2,13,5,16,0.51,6,Rain,7
2015-1-13,8,4,0,3,1,-1,100,83,65,1033,1031,1028,16,6,0,16,5,21,0.00,5,Fog,1
2015-1-14,9,4,-2,2,-1,-3,92,79,65,1028,1025,1023,16,16,10,10,2,13,0.00,0,,342
2015-1-15,12,6,-2,6,2,-2,92,76,59,1023,1015,1006,16,16,13,40,13,66,0.76,6,Rain,143
2015-1-16,11,7,2,6,4,1,92,78,63,1024,1016,1007,16,16,13,40,10,63,0.25,5,Rain,168
2015-1-17,8,4,1,6,3,0,92,76,60,1022,1012,1000,16,15,6,19,10,26,11.18,7,Rain,14
2015-1-18,14,11,7,11,6,3,86,75,63,1025,1012,997,16,13,4,53,20,72,14.99,7,Rain,171
2015-1-19,10,6,1,5,4,1,92,82,71,1032,1029,1025,16,15,3,23,10,27,1.52,4,Rain,163
2015-1-20,9,4,-1,3,1,-2,92,77,61,1032,1031,1029,16,12,1,23,5,27,T,2,,357
2015-1-21,8,3,-2,2,-1,-3,92,79,65,1029,1027,1025,16,12,0,8,0,10,0.25,4,Fog-Rain,15
2015-1-22,8,7,4,7,5,3,93,88,83,1029,1027,1026,16,11,3,14,5,16,3.81,8,Rain,13
2015-1-23,13,10,7,11,9,6,100,89,77,1029,1025,1022,16,11,3,40,18,63,21.34,8,Rain,158
2015-1-24,13,12,11,12,11,10,100,93,86,1026,1024,1022,16,13,4,26,15,45,10.92,8,Rain,171
2015-1-25,15,11,6,12,9,5,100,90,80,1023,1020,1015,16,7,0,16,6,23,0.00,5,Fog,123
2015-1-26,16,9,3,8,6,2,100,79,57,1015,1013,1012,16,3,0,19,7,26,0.00,2,Fog,170
2015-1-27,11,9,7,9,7,5,100,90,80,1026,1018,1014,16,9,0,24,9,34,0.76,7,Fog-Rain,167
2015-1-28,13,7,2,6,4,1,92,74,55,1030,1029,1025,16,14,0,14,4,21,0.00,5,,32
2015-1-29,12,7,1,4,2,0,96,75,54,1031,1029,1026,16,15,3,14,6,23,0.00,2,,356
2015-1-30,11,6,-1,4,2,-1,96,76,56,1028,1026,1024,16,12,0,10,1,13,0.00,2,Fog,290
2015-1-31,9,5,0,4,2,-1,100,83,66,1026,1024,1021,16,5,0,13,4,19,0.51,4,Fog,354
2015-2-1,10,7,4,6,5,3,93,87,80,1020,1017,1016,16,14,3,27,9,45,2.29,7,Rain,155
2015-2-2,10,8,6,7,6,4,92,86,80,1019,1014,1010,16,11,3,24,7,35,4.32,8,Rain,75
2015-2-3,10,8,6,8,7,6,100,90,80,1021,1019,1016,16,11,0,14,2,21,2.29,8,Fog-Rain,118
2015-2-4,8,6,2,6,4,2,100,88,76,1020,1016,1007,16,7,0,16,6,23,4.06,6,Fog-Rain,12
2015-2-5,16,11,7,11,9,6,92,82,72,1006,999,992,16,16,14,52,27,74,8.13,8,Rain,145
2015-2-6,16,14,12,11,9,7,83,73,62,996,992,990,16,16,14,48,34,82,3.56,7,Rain,158
2015-2-7,14,12,10,9,8,6,93,77,61,1010,1001,993,16,13,3,34,14,50,13.46,8,Rain,149
2015-2-8,16,13,10,8,7,6,77,64,51,1014,1010,1004,16,16,14,29,15,45,2.29,5,Rain,94
2015-2-9,13,11,9,9,8,7,93,83,72,1016,1008,1003,16,16,8,24,8,32,3.81,8,Rain,108
2015-2-10,12,9,7,9,8,6,93,82,71,1027,1023,1015,16,12,3,23,8,35,6.10,6,Rain,165
2015-2-11,13,9,6,8,6,5,100,89,77,1025,1023,1021,16,9,0,13,3,16,0.00,4,,38
2015-2-12,12,10,8,9,8,7,93,87,80,1026,1025,1023,16,15,4,21,6,24,3.05,8,Rain,8
2015-2-13,15,12,9,10,9,7,93,85,77,1026,1023,1020,16,15,6,14,5,21,2.79,6,Rain,228
2015-2-14,12,8,3,9,7,3,100,82,63,1032,1027,1024,16,11,0,19,3,29,T,6,Fog,223
2015-2-15,13,7,0,6,2,-1,100,83,66,1033,1031,1028,16,11,1,19,5,24,0.00,1,Fog,335
2015-2-16,14,8,2,2,-1,-3,92,63,33,1029,1027,1025,16,16,16,37,19,52,0.00,0,,13
2015-2-17,15,8,1,3,0,-3,86,60,33,1025,1023,1020,16,16,16,14,5,23,0.00,0,,3
2015-2-18,13,7,1,7,4,1,100,82,64,1025,1023,1020,16,16,14,26,6,35,0.76,5,Rain,170
2015-2-19,10,9,8,8,7,6,93,84,74,1026,1024,1023,16,16,14,19,10,26,T,8,Rain,171
2015-2-20,11,7,2,8,6,1,100,82,63,1027,1025,1024,16,11,3,13,3,16,0.51,6,Rain,198
