PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,14,7,-1,2,-4,-8,70,47,24,1021,1019,1017,16,16,16,14,1,19,0.00,0,,185
2015-1-2,15,8,1,5,-1,-6,76,52,28,1021,1019,1017,16,16,14,14,3,19,0.00,0,,222
2015-1-3,17,9,2,6,2,-2,77,55,32,1025,1023,1020,16,16,14,14,2,16,0.00,0,,238
2015-1-4,21,12,3,7,1,-2,79,51,22,1027,1025,1024,16,16,14,11,2,13,0.00,0,,242
2015-1-5,27,17,7,1,-1,-3,58,37,15,1025,1022,1020,16,16,16,13,3,19,0.00,0,,353
2015-1-6,28,18,8,1,-2,-8,48,29,9,1023,1021,1018,16,16,16,19,4,23,0.00,0,,270
2015-1-7,29,19,9,4,1,-3,50,32,13,1020,1018,1016,16,16,16,14,5,26,0.00,0,,303
2015-1-8,23,17,10,8,4,1,67,48,29,1017,1016,1015,16,16,16,14,4,24,0.00,0,,178
2015-1-9,22,17,11,11,7,1,77,52,26,1017,1015,1013,16,14,8,19,5,26,0.00,0,,146
2015-1-10,15,12,9,13,9,6,100,83,66,1016,1015,1014,16,9,3,14,3,16,10.41,6,Rain,254
2015-1-11,16,14,11,13,12,11,100,89,78,1019,1016,1014,16,9,3,16,3,24,6.86,6,Rain,155
2015-1-12,18,13,8,12,9,8,100,82,63,1022,1020,1018,16,8,0,14,5,19,0.00,2,Fog,223
2015-1-13,22,16,9,10,8,-4,100,59,17,1020,1018,1015,16,10,4,21,5,29,0.00,3,,82
2015-1-14,22,14,7,5,2,-1,77,50,23,1022,1020,1019,16,16,16,19,5,23,0.00,0,,153
2015-1-15,22,14,7,3,0,-3,62,41,19,1025,1022,1021,16,16,16,19,4,23,0.00,0,,302
2015-1-16,24,16,7,3,0,-3,62,39,16,1022,1020,1018,16,16,16,14,3,21,0.00,0,,224
2015-1-17,26,18,9,4,1,-3,56,36,15,1023,1020,1019,16,16,16,11,2,26,0.00,0,,290
2015-1-18,24,17,10,7,4,2,68,47,25,1023,1021,1020,16,16,14,11,2,,0.00,0,,205
2015-1-19,23,16,8,11,6,3,77,53,29,1021,1018,1016,16,14,10,14,3,19,0.00,0,,181
2015-1-20,17,13,9,12,10,6,100,84,67,1017,1014,1012,16,5,0,13,3,,0.00,2,Fog,133
2015-1-21,24,17,10,10,4,-11,89,51,12,1019,1015,1013,16,9,3,27,6,35,0.00,3,,122
2015-1-22,23,16,8,-2,-6,-12,37,24,10,1024,1021,1019,16,16,16,16,5,21,0.00,0,,253
2015-1-23,23,15,7,-3,-6,-10,49,30,11,1024,1021,1019,16,16,16,24,5,32,0.00,0,,213
2015-1-24,27,21,14,-2,-6,-9,33,21,9,1019,1016,1014,16,16,16,74,22,97,0.00,0,,34
2015-1-25,26,18,9,2,-2,-6,39,26,13,1017,1016,1014,16,16,16,19,5,27,0.00,0,,173
2015-1-26,24,18,12,12,5,1,93,57,21,1019,1016,1014,16,16,14,27,8,34,4.83,5,Rain,165
2015-1-27,21,17,12,12,9,7,100,70,40,1022,1020,1019,16,15,11,16,4,26,0.25,3,Rain,229
2015-1-28,22,17,12,8,6,3,77,53,29,1021,1019,1017,16,16,16,14,5,21,0.00,0,,316
2015-1-29,23,18,14,7,6,4,62,47,31,1017,1016,1014,16,16,16,14,4,23,T,2,Rain,155
2015-1-30,19,16,12,12,10,7,93,73,52,1014,1011,1009,16,16,10,32,6,39,5.84,5,Rain,333
2015-1-31,22,17,12,12,9,3,93,61,29,1015,1011,1009,16,15,10,27,6,42,0.00,3,,87
2015-2-1,24,17,8,8,5,2,77,50,23,1019,1017,1015,16,16,16,16,3,19,0.00,0,,235
2015-2-2,25,17,9,7,4,2,71,47,23,1019,1017,1015,16,16,16,19,2,21,0.00,0,,156
2015-2-3,24,16,8,12,7,3,80,56,31,1018,1017,1015,16,14,6,14,5,24,0.00,0,,161
2015-2-4,24,17,8,11,9,7,100,69,38,1020,1018,1016,11,6,0,14,2,21,0.00,1,Fog,148
2015-2-5,28,19,9,12,8,3,83,53,23,1018,1016,1014,16,11,6,14,4,21,0.00,0,,105
2015-2-6,24,17,9,11,6,2,80,52,23,1021,1018,1017,16,13,6,16,5,23,0.00,0,,154
2015-2-7,19,14,9,14,8,2,87,66,44,1021,1020,1019,16,10,4,14,2,19,0.25,7,Rain,307
2015-2-8,26,19,13,14,13,10,93,68,43,1022,1020,1017,16,13,3,21,5,24,0.25,3,,280
2015-2-9,25,19,13,14,10,4,100,64,27,1021,1018,1015,16,16,16,21,7,27,0.00,1,,319
2015-2-10,28,19,9,8,5,2,66,43,20,1015,1013,1011,16,16,16,16,3,,0.00,0,,176
2015-2-11,29,20,11,3,-2,-7,55,33,11,1018,1016,1014,16,16,16,16,3,32,0.00,0,,312
2015-2-12,29,20,11,0,-4,-7,35,23,10,1020,1017,1016,16,16,16,16,5,21,0.00,0,,223
2015-2-13,31,21,12,2,-3,-8,40,24,8,1018,1016,1013,16,16,16,19,4,26,0.00,0,,256
2015-2-14,29,21,12,4,1,-4,50,31,11,1018,1016,1014,16,16,16,16,5,21,0.00,0,,260
2015-2-15,26,18,10,12,4,1,78,50,21,1015,1013,1011,16,16,16,14,4,21,0.00,0,,153
2015-2-16,23,17,10,12,9,5,93,69,44,1016,1014,1013,16,13,6,19,6,23,0.00,1,,163
2015-2-17,22,18,14,12,11,10,86,67,47,1020,1017,1016,16,9,6,16,5,23,0.00,3,,154
2015-2-18,24,17,10,12,10,7,100,69,38,1021,1019,1016,16,8,0,21,4,24,0.00,1,Fog,104
2015-2-19,24,18,11,12,11,7,93,65,36,1020,1017,1015,16,7,0,19,4,23,0.00,2,Fog,158
2015-2-20,21,17,12,12,10,8,93,69,44,1017,1015,1011,11,6,1,19,4,29,0.00,4,,141
2015-2-21,19,17,13,11,9,7,86,67,48,1016,1013,1010,16,14,8,23,9,29,0.00,7,,157
2015-2-22,16,14,12,11,9,8,93,79,64,1012,1010,1009,16,13,2,26,10,34,8.13,8,Rain,153
2015-2-23,16,12,8,8,7,4,86,69,51,1020,1015,1010,16,16,8,21,5,24,3.56,4,Rain-Thunderstorm,303
2015-2-24,23,14,6,4,-1,-6,83,49,15,1023,1021,1020,16,16,16,39,13,50,0.00,0,,314
2015-2-25,22,14,7,9,4,-1,71,49,26,1022,1019,1015,16,16,16,19,4,26,0.00,0,,177
2015-2-26,21,14,8,10,6,0,77,53,28,1015,1011,1009,16,16,16,26,6,37,0.00,0,,162
2015-2-27,17,14,12,11,9,8,89,75,60,1011,1008,1006,16,15,10,23,8,27,0.00,6,,142
2015-2-28,16,13,10,9,7,4,83,65,46,1012,1009,1006,16,16,10,27,10,39,3.05,7,Rain,181
2015-3-1,17,13,8,8,7,5,86,66,46,1014,1012,1011,16,14,5,29,9,37,16.00,6,Rain,350
2015-3-2,15,11,7,8,6,4,93,72,51,1014,1012,1011,16,15,6,35,5,42,5.08,4,Rain,154
2015-3-3,18,12,6,7,4,2,83,59,34,1014,1013,1011,16,16,16,23,5,27,T,0,,196
2015-3-4,21,14,7,4,1,-2,76,49,22,1021,1017,1014,16,16,16,21,5,27,0.00,0,,177
2015-3-5,24,16,7,-1,-4,-9,58,35,11,1025,1022,1020,16,16,16,21,4,26,0.00,0,,207
2015-3-6,29,18,7,-3,-7,-13,45,26,7,1020,1017,1015,16,16,16,32,9,39,0.00,0,,28
2015-3-7,30,21,12,-1,-4,-8,35,22,9,1016,1014,1012,16,16,16,24,7,27,0.00,0,,165
2015-3-8,26,18,11,11,4,-2,80,50,19,1016,1014,1012,16,16,14,19,7,24,0.00,0,,167
2015-3-9,24,18,11,11,10,7,89,64,38,1015,1013,1010,16,12,4,16,6,24,0.00,2,,123
2015-3-10,28,19,10,10,4,-3,77,46,15,1015,1013,1012,16,16,11,21,4,32,0.00,0,,122
2015-3-11,23,20,16,7,5,1,52,40,27,1019,1017,1014,16,16,16,21,6,29,T,3,Rain,296
2015-3-12,31,22,13,6,2,-2,61,38,14,1017,1016,1013,16,16,16,39,15,52,0.00,0,,9
2015-3-13,32,26,20,2,0,-4,30,20,10,1017,1015,1013,16,16,16,35,14,50,0.00,0,,351
2015-3-14,33,24,15,3,1,-4,36,24,12,1018,1016,1014,16,16,16,21,6,26,0.00,0,,293
2015-3-15,32,25,17,7,3,0,44,29,13,1017,1015,1012,16,16,16,26,6,34,0.00,0,,285
2015-3-16,32,24,17,7,3,-2,48,30,12,1014,1012,1010,16,16,16,23,6,27,0.00,0,,153
2015-3-17,28,22,16,11,6,1,58,38,17,1014,1012,1011,16,16,16,21,6,27,0.00,0,,157
2015-3-18,23,19,16,14,13,11,84,67,49,1015,1013,1012,16,16,16,19,10,24,T,2,,154
2015-3-19,24,20,15,14,13,12,90,68,46,1016,1014,1012,16,16,10,19,6,27,0.00,3,,160
2015-3-20,28,21,13,14,11,5,86,55,23,1019,1017,1015,16,14,6,19,6,24,0.00,2,,147
2015-3-21,24,19,14,14,12,10,87,67,46,1021,1018,1016,16,9,3,21,8,26,0.00,3,,143
2015-3-22,22,18,14,13,11,11,84,69,53,1022,1020,1019,16,12,8,21,7,29,0.00,5,,160
2015-3-23,23,17,12,11,8,3,86,61,35,1021,1019,1017,16,16,16,27,8,37,0.00,1,,137
2015-3-24,27,20,13,9,6,-2,77,48,18,1019,1016,1014,16,16,4,37,14,52,0.00,0,,135
2015-3-25,31,22,13,9,6,0,72,45,17,1017,1015,1014,16,16,16,26,6,39,0.00,0,,133
2015-3-26,33,24,14,3,1,-3,40,25,10,1018,1016,1014,16,16,16,23,6,27,0.00,0,,221
2015-3-27,33,24,16,5,2,-2,46,29,11,1018,1016,1014,16,16,16,24,6,,0.00,0,,260
2015-3-28,30,22,14,12,6,-3,64,38,12,1017,1016,1014,16,16,16,19,6,26,0.00,0,,169
2015-3-29,29,21,13,13,7,2,78,49,20,1016,1015,1013,16,16,16,21,6,26,0.00,0,,150
2015-3-30,28,21,13,13,8,3,78,52,26,1016,1014,1012,16,16,14,21,6,26,0.00,0,,147
2015-3-31,24,19,13,12,10,6,86,59,31,1015,1014,1012,16,14,6,21,8,26,0.00,0,,150
2015-4-1,24,19,13,12,9,6,86,61,35,1015,1013,1011,16,15,11,21,11,27,0.00,0,,133
2015-4-2,24,18,11,9,4,-4,72,44,16,1016,1014,1012,16,16,16,26,5,32,0.00,0,,147
2015-4-3,29,20,11,4,-6,-9,43,26,8,1017,1015,1014,16,16,16,24,7,29,0.00,0,,255
2015-4-4,28,21,13,8,-4,-10,60,34,8,1014,1012,1010,16,16,16,24,9,29,0.00,0,,171
2015-4-5,22,17,12,9,7,3,71,56,40,1013,1010,1009,16,16,16,24,11,39,0.00,2,,182
2015-4-6,18,15,11,9,4,-2,77,52,27,1015,1013,1011,16,16,16,27,12,37,0.00,2,,190
2015-4-7,17,13,8,11,7,3,89,68,47,1017,1015,1014,16,14,4,24,6,32,2.54,5,Rain,189
2015-4-8,23,15,7,8,2,-7,86,50,14,1018,1015,1013,16,16,16,32,11,42,0.00,0,,312
2015-4-9,25,17,9,8,2,-3,67,42,17,1014,1013,1011,16,16,16,24,8,35,0.00,0,,167
2015-4-10,22,16,10,10,6,4,77,57,37,1016,1014,1013,16,16,16,23,6,29,0.00,0,,169
2015-4-11,23,17,11,10,8,5,72,55,38,1014,1012,1010,16,16,16,23,8,27,0.00,0,,144
2015-4-12,26,18,11,13,9,6,84,60,36,1016,1013,1011,16,16,16,21,8,26,0.00,0,,134
2015-4-13,26,19,13,13,11,9,86,62,38,1018,1016,1015,16,15,10,21,7,24,0.00,1,,163
2015-4-14,25,19,13,11,7,-7,86,51,15,1019,1016,1012,16,15,6,39,12,52,0.00,2,,165
2015-4-15,27,19,12,5,0,-8,59,35,11,1014,1012,1010,16,16,16,26,6,35,0.00,0,,142
2015-4-16,27,19,12,-1,-6,-14,35,21,6,1016,1014,1012,16,16,16,26,7,34,0.00,0,,234
2015-4-17,29,21,12,-1,-5,-8,32,21,9,1017,1015,1013,16,16,16,26,7,37,0.00,0,,258
2015-4-18,27,20,12,11,2,-4,69,43,16,1016,1014,1012,16,16,16,23,7,27,0.00,0,,154
2015-4-19,26,19,12,11,8,3,75,53,30,1014,1012,1009,16,16,13,23,8,29,0.00,0,,150
2015-4-20,22,17,12,10,9,8,89,68,47,1012,1011,1009,16,15,13,23,8,27,0.00,2,,173
2015-4-21,19,16,13,10,8,7,83,66,48,1014,1012,1010,16,16,16,19,8,27,0.00,7,,181
2015-4-22,18,16,13,9,9,7,72,62,52,1013,1011,1010,16,16,16,21,8,29,0.00,6,,173
2015-4-23,19,15,11,9,8,8,83,68,52,1013,1011,1011,16,16,14,21,6,23,0.00,4,,159
2015-4-24,17,16,14,10,9,8,72,66,60,1016,1014,1012,16,16,16,19,8,24,0.00,8,,168
2015-4-25,17,14,12,13,10,8,86,71,56,1015,1013,1010,16,14,3,23,8,27,3.81,6,Rain,132
2015-4-26,27,20,13,9,4,-1,77,47,16,1014,1012,1010,16,16,16,34,14,45,0.00,0,,319
2015-4-27,30,22,13,8,2,-7,66,38,9,1014,1012,1011,16,16,16,35,10,52,0.00,0,,136
2015-4-28,33,23,14,3,-1,-5,42,26,9,1014,1012,1011,16,16,16,26,8,35,0.00,0,,230
2015-4-29,34,26,17,7,1,-5,40,25,10,1012,1010,1008,16,16,16,21,6,37,0.00,0,,188
2015-4-30,33,25,17,10,2,-3,39,25,10,1010,1009,1008,16,16,16,23,6,40,0.00,0,,173
2015-5-1,32,25,17,13,4,-1,68,40,12,1012,1010,1009,16,15,1,24,7,35,0.00,0,,206
2015-5-2,31,23,15,9,3,-3,64,39,14,1011,1009,1008,16,16,16,24,10,32,0.00,0,,212
2015-5-3,24,19,13,11,10,8,77,62,46,1012,1011,1009,16,16,16,24,8,29,0.00,0,,165
2015-5-4,21,17,12,10,9,8,77,63,49,1015,1013,1012,16,16,16,23,11,39,0.00,2,,163
2015-5-5,18,16,13,9,8,8,77,65,52,1015,1014,1012,16,16,16,21,10,27,0.00,7,,153
2015-5-6,19,17,14,9,8,7,72,60,48,1013,1011,1009,16,16,16,21,10,32,0.00,8,,158
2015-5-7,18,15,12,9,7,3,83,65,47,1011,1010,1009,16,16,8,29,14,42,2.03,7,Rain,181
2015-5-8,16,13,10,9,7,4,83,68,53,1017,1013,1010,16,16,16,21,9,29,0.25,7,,155
2015-5-9,19,16,12,9,8,7,77,63,48,1017,1016,1015,16,16,16,23,5,29,0.00,5,,167
2015-5-10,24,18,11,12,9,7,77,59,41,1016,1014,1012,16,16,16,24,8,27,0.00,0,,153
2015-5-11,28,21,13,11,8,4,77,50,23,1013,1010,1008,16,16,16,21,9,32,0.00,0,,146
2015-5-12,23,18,13,12,10,7,86,62,38,1013,1011,1009,16,16,8,24,12,37,0.00,3,,149
2015-5-13,20,17,13,11,8,6,77,60,42,1015,1013,1010,16,16,16,24,11,27,0.00,5,,151
2015-5-14,17,14,11,11,8,6,89,70,51,1012,1011,1010,16,15,8,27,12,35,5.08,6,Rain,150
2015-5-15,21,16,11,9,8,6,89,65,40,1012,1010,1009,16,16,16,24,5,34,0.25,5,Rain,224
2015-5-16,20,16,11,11,9,8,83,68,52,1016,1014,1011,16,16,16,26,9,35,0.00,4,,156
2015-5-17,21,18,14,11,11,9,80,67,53,1016,1015,1014,16,16,16,21,9,27,0.00,5,,169
2015-5-18,21,18,14,11,9,7,75,61,47,1017,1015,1014,16,16,16,23,8,27,0.00,7,,156
2015-5-19,22,17,11,10,8,7,77,61,44,1017,1015,1013,16,16,16,26,8,35,0.00,0,,164
2015-5-20,22,18,14,10,9,8,72,58,44,1015,1013,1011,16,16,16,26,10,42,0.00,2,,159
2015-5-21,19,17,13,10,8,7,83,64,45,1014,1013,1012,16,16,16,21,8,27,0.00,7,,191
2015-5-22,19,17,14,11,9,7,77,63,48,1017,1015,1014,16,16,16,23,8,27,0.00,7,,171
2015-5-23,22,18,13,11,10,9,83,67,51,1018,1016,1015,16,16,16,23,9,27,0.00,5,,156
2015-5-24,22,18,14,11,10,9,77,64,51,1016,1014,1012,16,16,16,21,7,34,0.00,4,,160
2015-5-25,22,18,13,12,11,9,86,70,53,1015,1014,1013,16,16,16,19,9,26,0.00,4,,152
2015-5-26,22,18,14,12,12,11,80,67,53,1015,1014,1013,16,16,14,21,8,24,0.00,5,,174
2015-5-27,23,19,14,12,11,11,80,65,49,1016,1014,1012,16,15,13,21,9,35,0.00,4,,167
2015-5-28,26,19,13,13,12,11,86,66,45,1016,1013,1011,16,13,5,21,9,42,0.00,2,,163
2015-5-29,29,22,14,13,13,12,86,60,34,1014,1012,1010,16,12,5,21,10,29,0.00,2,,155
2015-5-30,29,22,14,14,13,13,87,62,37,1014,1012,1010,16,10,2,23,11,29,0.00,1,,127
2015-5-31,26,21,15,14,13,12,87,66,45,1014,1012,1011,16,11,3,23,11,26,0.00,2,,165
2015-6-1,26,21,14,13,12,11,86,63,39,1015,1014,1013,16,12,5,23,10,29,0.00,3,,160
2015-6-2,25,20,15,13,12,11,80,62,43,1014,1013,1011,16,16,16,23,11,35,0.00,0,,142
2015-6-3,24,20,16,14,13,12,84,67,49,1014,1012,1009,16,14,5,19,10,26,T,7,Rain,148
2015-6-4,21,18,16,13,12,11,84,69,53,1011,1010,1009,16,16,13,23,8,26,T,6,,148
2015-6-5,23,19,15,13,11,9,87,66,44,1011,1010,1009,16,16,14,24,10,35,0.00,5,,149
2015-6-6,23,19,14,13,11,10,80,65,49,1013,1011,1010,16,16,16,21,9,26,0.00,1,,143
2015-6-7,32,23,14,14,13,12,86,60,34,1012,1010,1007,16,16,16,23,8,34,0.00,0,,134
2015-6-8,39,28,17,14,11,5,78,46,13,1010,1009,1007,16,16,16,27,9,35,0.00,0,,138
2015-6-9,30,25,20,17,14,10,68,49,29,1011,1009,1008,16,16,16,32,12,39,0.76,5,Rain,286
2015-6-10,25,21,17,17,16,15,81,71,60,1014,1012,1009,16,15,6,19,11,26,0.00,5,,162
2015-6-11,25,21,16,16,16,14,100,80,60,1012,1010,1008,16,9,2,19,7,26,0.00,6,,172
2015-6-12,24,21,17,16,15,14,90,74,58,1011,1009,1007,16,10,5,21,9,27,0.00,5,,174
2015-6-13,24,21,17,15,14,14,90,76,61,1011,1009,1007,16,13,5,19,7,26,0.00,5,,173
2015-6-14,28,23,17,16,14,14,84,66,47,1009,1008,1006,16,12,5,23,9,47,0.00,3,,160
2015-6-15,31,24,17,16,15,14,90,66,42,1011,1009,1008,16,13,5,23,10,34,0.00,3,,155
2015-6-16,31,24,17,15,14,12,84,61,37,1011,1010,1010,16,15,11,19,11,,0.00,0,,149
2015-6-17,31,23,16,15,13,12,90,61,32,1012,1011,1010,16,12,3,24,11,26,0.00,1,,135
2015-6-18,34,26,17,14,12,6,84,53,21,1013,1011,1010,16,14,6,23,8,27,0.00,0,,143
2015-6-19,33,26,18,13,11,6,63,41,18,1011,1009,1008,16,16,16,21,9,35,0.00,0,,145
2015-6-20,33,26,18,14,12,7,68,45,22,1010,1009,1007,16,16,16,24,10,27,0.00,0,,146
2015-6-21,29,24,18,16,15,13,87,64,40,1013,1012,1010,16,15,10,23,10,35,0.00,0,,151
2015-6-22,31,24,18,15,13,9,78,54,30,1013,1012,1011,16,16,14,23,10,32,0.00,0,,145
2015-6-23,32,26,18,13,12,8,67,45,23,1013,1011,1009,16,16,16,21,8,29,0.00,0,,154
2015-6-24,31,25,18,14,11,3,63,41,19,1012,1011,1010,16,16,16,23,10,29,0.00,0,,156
2015-6-25,32,25,18,15,13,8,73,49,24,1013,1012,1011,16,16,16,23,9,29,0.00,0,,135
2015-6-26,33,25,17,15,14,10,84,55,26,1014,1013,1012,16,15,10,23,10,,0.00,0,,137
2015-6-27,28,23,18,15,14,12,78,59,39,1015,1013,1011,16,16,16,32,6,35,T,0,,139
2015-6-28,36,29,22,15,13,6,66,42,18,1013,1011,1009,16,16,16,21,9,26,0.00,0,,161
2015-6-29,37,30,22,15,14,11,61,42,22,1011,1010,1009,16,16,16,21,11,32,0.00,0,,126
2015-6-30,35,28,22,15,12,1,61,38,14,1013,1010,1008,16,16,16,42,10,48,T,1,,146
2015-7-1,33,28,22,16,13,8,64,44,23,1013,1011,1009,16,16,16,29,9,37,0.00,0,,154
2015-7-2,32,27,21,16,14,7,73,48,22,1014,1013,1011,16,16,16,23,9,32,0.00,0,,147
2015-7-3,31,24,18,16,15,14,87,62,37,1014,1011,1009,16,16,16,21,12,27,0.00,0,,141
2015-7-4,28,23,17,16,14,14,84,66,48,1013,1011,1009,16,14,10,23,11,29,0.00,0,,152
2015-7-5,26,22,17,15,14,14,84,68,52,1016,1013,1012,16,11,5,24,9,29,0.00,4,,173
2015-7-6,27,22,17,15,14,14,78,65,52,1017,1015,1013,16,15,10,23,10,34,0.00,4,,167
2015-7-7,27,22,18,16,15,14,84,69,54,1016,1013,1010,16,12,6,24,10,39,0.00,4,,163
2015-7-8,24,22,18,15,14,14,78,68,58,1012,1010,1008,16,16,16,21,10,26,0.00,6,,169
2015-7-9,24,21,18,14,12,11,78,62,46,1013,1011,1009,16,16,16,23,10,27,0.00,6,,190
2015-7-10,24,21,17,13,12,11,68,57,46,1013,1012,1011,16,16,16,26,8,35,0.00,1,,181
2015-7-11,27,22,17,14,13,12,78,60,42,1014,1013,1011,16,16,16,23,8,29,0.00,0,,156
2015-7-12,31,24,17,14,13,12,73,54,34,1015,1014,1012,16,16,16,21,9,27,0.00,0,,140
2015-7-13,32,25,18,15,13,11,68,50,31,1014,1012,1010,16,15,2,21,9,29,0.00,0,,149
2015-7-14,31,24,18,15,14,11,73,51,29,1011,1010,1008,16,16,16,23,10,27,0.00,0,,151
2015-7-15,29,24,18,16,14,12,81,60,39,1014,1011,1010,16,16,14,23,11,32,0.00,3,,168
2015-7-16,28,23,18,16,14,13,84,63,42,1014,1013,1011,16,16,13,19,8,,0.00,3,,163
2015-7-17,32,24,17,16,13,7,90,56,21,1013,1010,1007,16,16,13,21,8,26,0.00,0,,166
2015-7-18,31,25,19,19,16,10,90,61,31,1017,1014,1010,16,14,8,27,5,34,7.37,6,Rain-Thunderstorm,190
2015-7-19,33,27,21,22,19,17,84,63,41,1018,1015,1013,16,16,10,34,7,45,0.25,4,Rain,182
2015-7-20,30,26,22,19,18,17,79,65,51,1016,1014,1012,16,16,16,19,7,26,0.00,5,,172
2015-7-21,28,25,21,19,18,18,90,73,55,1015,1012,1009,16,16,16,21,9,29,0.00,7,,166
2015-7-22,28,24,20,19,17,16,90,71,51,1013,1011,1009,16,16,16,23,9,27,0.00,6,,170
2015-7-23,30,25,19,17,16,13,87,64,40,1015,1013,1012,16,16,16,21,8,27,0.00,2,,164
