PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-7,-10,-13,-10,-12,-16,92,83,73,1034,1031,1026,16,15,11,10,2,13,0.00,7,,93
2015-1-2,-4,-6,-8,-7,-8,-9,100,92,84,1028,1021,1015,16,10,1,14,5,18,1.27,8,Snow,56
2015-1-3,-4,-8,-13,-6,-8,-13,96,92,88,1028,1025,1021,13,5,0,14,5,16,1.02,7,Fog-Snow,48
2015-1-4,2,-1,-4,1,-3,-6,100,92,84,1029,1024,1015,16,3,0,35,8,43,9.14,8,Fog-Rain-Snow,112
2015-1-5,6,3,1,4,2,1,100,96,92,1027,1022,1014,16,6,0,45,14,53,T,8,Fog-Rain,209
2015-1-6,6,3,0,4,2,0,100,85,70,1031,1029,1026,16,11,0,19,7,23,0.00,7,Fog,71
2015-1-7,1,0,-1,1,0,-1,100,96,92,1032,1029,1028,1,0,0,21,10,26,0.00,8,Fog,36
2015-1-8,1,-1,-2,1,-1,-3,100,95,89,1029,1028,1026,16,4,0,21,12,23,T,6,Fog,32
2015-1-9,1,-1,-3,-4,-5,-7,85,74,63,1027,1024,1019,16,16,16,19,7,23,0.00,7,,57
2015-1-10,-1,-2,-2,-2,-3,-4,100,89,78,1020,1018,1016,16,6,1,10,3,11,0.76,8,Fog-Snow,42
2015-1-11,-1,-2,-4,-2,-3,-4,100,93,85,1026,1022,1018,16,8,0,13,8,16,T,8,Fog-Snow,13
2015-1-12,0,-2,-3,-2,-3,-4,100,89,78,1032,1029,1025,16,15,11,13,6,19,0.00,7,Fog,64
2015-1-13,-1,-1,-2,-2,-2,-3,100,93,85,1036,1034,1032,16,12,3,11,5,13,T,8,Snow,43
2015-1-14,1,-2,-4,-2,-3,-6,100,86,72,1033,1031,1028,16,16,11,16,7,19,0.00,6,,31
2015-1-15,0,-2,-4,-2,-3,-4,100,89,78,1030,1025,1015,16,13,2,16,8,21,1.52,8,Snow,80
2015-1-16,3,-1,-4,3,-1,-4,100,95,89,1027,1019,1010,16,7,0,35,11,47,6.10,6,Fog-Rain-Snow,214
2015-1-17,1,-2,-4,1,-2,-5,100,93,85,1027,1019,1010,11,2,0,16,9,19,16.00,7,Fog-Rain-Snow,58
2015-1-18,7,4,1,6,2,0,100,88,76,1023,1014,1008,16,11,0,58,30,76,8.38,5,Fog-Rain,203
2015-1-19,6,2,-3,2,1,-3,100,90,79,1029,1026,1023,16,13,1,35,12,42,0.00,5,,204
