PST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,14,8,2,4,1,-3,76,57,38,1022,1020,1018,16,13,8,14,3,21,0.00,0,,150
2015-1-2,15,9,3,7,3,-1,82,67,51,1022,1020,1018,16,13,8,21,3,27,0.00,0,,224
2015-1-3,17,11,4,8,6,3,86,68,49,1026,1024,1021,16,12,6,16,4,21,0.00,0,,291
2015-1-4,21,13,5,11,7,3,92,62,31,1028,1026,1024,16,11,8,21,6,24,0.00,0,,317
2015-1-5,28,18,7,5,1,-3,77,47,16,1024,1022,1020,16,16,13,21,9,26,0.00,0,,333
2015-1-6,29,21,11,4,1,-2,42,28,14,1022,1021,1018,16,16,16,14,6,16,0.00,0,,304
2015-1-7,28,18,7,12,6,2,89,54,18,1021,1019,1017,16,16,14,14,4,18,0.00,0,,313
2015-1-8,20,15,9,14,11,7,90,71,52,1018,1017,1016,16,14,8,16,5,21,0.00,1,,158
2015-1-9,22,17,12,14,13,7,93,67,40,1018,1016,1014,16,7,2,16,3,21,0.00,2,,132
2015-1-10,17,14,12,13,12,9,93,86,78,1017,1016,1014,16,7,2,13,3,16,8.89,6,Rain,359
2015-1-11,17,14,12,14,13,12,100,92,84,1020,1017,1015,16,6,2,13,5,16,10.16,6,Rain,83
2015-1-12,18,15,11,13,13,11,100,87,73,1023,1020,1019,16,5,0,14,5,18,0.00,5,Fog,70
2015-1-13,21,17,12,13,12,10,100,76,51,1021,1019,1016,11,8,5,16,5,24,0.00,3,,322
2015-1-14,22,16,9,9,6,2,86,57,28,1023,1021,1020,16,15,10,19,6,23,0.00,0,,303
2015-1-15,24,17,9,9,4,-1,67,43,19,1025,1023,1021,16,16,16,14,7,,0.00,0,,313
2015-1-16,23,17,9,10,5,2,83,56,28,1022,1020,1019,16,16,16,14,5,18,0.00,0,,283
2015-1-17,24,17,8,12,7,3,89,60,31,1024,1021,1019,16,15,10,13,2,16,0.00,0,,289
2015-1-18,23,17,11,12,9,6,89,63,37,1024,1022,1021,16,13,8,16,3,19,0.00,0,,293
2015-1-19,20,15,9,13,11,7,93,75,56,1022,1019,1017,16,9,4,14,4,18,0.00,1,,185
2015-1-20,17,16,13,13,12,11,93,86,78,1017,1015,1013,10,5,2,11,5,,0.00,8,,167
2015-1-21,23,17,11,12,11,8,83,61,38,1019,1016,1014,13,9,5,19,6,24,0.00,3,,344
2015-1-22,24,16,8,8,3,-4,89,53,16,1024,1022,1019,16,14,6,16,6,21,0.00,0,,314
2015-1-23,24,17,10,4,-1,-6,61,37,13,1024,1022,1020,16,16,16,21,6,24,0.00,0,,319
2015-1-24,28,18,8,4,-1,-5,65,40,14,1019,1017,1015,16,16,16,24,9,37,0.00,0,,63
2015-1-25,28,19,11,4,1,-6,50,33,15,1017,1016,1014,16,16,16,27,6,35,0.00,0,,315
2015-1-26,24,19,13,13,7,2,86,57,27,1020,1017,1015,16,16,11,24,7,32,2.54,6,Rain,88
2015-1-27,23,17,12,13,12,8,93,67,41,1023,1021,1020,16,15,6,23,6,26,0.00,2,,323
2015-1-28,24,18,12,12,11,8,93,66,38,1022,1019,1018,16,16,14,19,8,31,0.00,0,,318
2015-1-29,23,19,14,13,11,8,72,57,41,1018,1016,1015,16,16,16,16,5,21,T,2,Rain,261
2015-1-30,21,18,14,13,12,9,87,68,49,1015,1012,1010,16,15,2,26,5,31,0.51,5,Rain,274
2015-1-31,21,17,13,13,12,11,100,79,57,1016,1012,1010,16,14,5,24,5,31,0.00,3,,282
2015-2-1,23,16,9,14,11,8,93,71,49,1020,1018,1016,16,12,4,14,3,21,0.00,1,,150
2015-2-2,23,17,9,13,10,5,96,64,31,1019,1017,1015,16,14,10,14,3,18,0.00,0,,229
2015-2-3,21,16,12,14,13,10,100,81,61,1019,1018,1016,11,3,0,13,4,18,0.00,4,Fog,301
2015-2-4,21,17,13,14,13,12,93,77,61,1021,1019,1017,6,4,1,16,5,21,0.00,4,Fog,298
2015-2-5,23,17,12,14,12,11,100,77,53,1019,1018,1015,10,4,0,24,5,29,0.00,2,Fog,312
2015-2-6,23,18,13,13,12,7,100,69,38,1021,1019,1018,16,7,2,19,6,24,0.00,5,,13
2015-2-7,22,17,11,15,13,10,100,81,61,1022,1021,1020,16,9,0,21,5,23,T,6,Fog,349
2015-2-8,26,21,15,16,14,12,97,71,45,1022,1020,1018,16,14,6,29,12,39,0.00,4,,301
2015-2-9,23,19,14,16,13,9,100,74,47,1021,1019,1016,16,14,6,27,11,34,0.00,4,,309
2015-2-10,26,18,10,13,11,8,93,65,36,1016,1014,1012,16,16,11,16,4,21,0.00,1,,296
2015-2-11,31,22,12,11,1,-5,86,48,10,1018,1016,1014,16,16,14,32,9,40,0.00,0,,43
2015-2-12,31,22,12,4,0,-3,46,29,11,1020,1018,1016,16,16,16,32,9,39,0.00,0,,332
2015-2-13,32,23,13,6,1,-4,51,31,10,1019,1016,1014,16,16,16,29,8,37,0.00,0,,298
2015-2-14,29,21,12,9,4,-1,60,38,15,1019,1016,1014,16,16,16,23,5,27,0.00,0,,277
2015-2-15,26,18,11,14,10,6,90,64,37,1016,1014,1012,16,16,13,19,6,24,0.00,0,,293
2015-2-16,19,17,13,13,13,12,93,78,63,1017,1015,1014,16,9,4,19,7,24,0.00,4,,168
2015-2-17,21,17,13,12,12,11,86,72,58,1021,1019,1017,16,14,8,21,8,24,0.00,4,,211
2015-2-18,22,17,12,13,12,11,93,75,57,1022,1020,1017,10,7,5,21,6,27,0.00,3,,313
2015-2-19,21,17,13,13,12,11,93,75,57,1020,1018,1016,11,7,5,16,5,21,0.00,4,,206
2015-2-20,20,17,13,12,12,11,93,78,63,1017,1015,1013,16,11,4,16,4,23,0.00,5,,162
2015-2-21,19,17,13,12,11,9,86,69,52,1016,1013,1012,16,15,11,23,7,29,0.00,7,,150
2015-2-22,19,16,11,13,11,9,86,71,56,1013,1011,1010,16,14,3,26,7,35,4.57,7,Rain,195
2015-2-23,19,14,10,11,8,6,96,72,48,1021,1016,1011,16,16,13,27,8,37,1.52,2,Rain,246
2015-2-24,23,16,7,11,5,-3,89,54,19,1024,1022,1021,16,16,16,26,8,37,0.00,0,,280
2015-2-25,22,16,10,11,8,4,86,62,37,1023,1020,1016,16,16,14,16,5,23,0.00,1,,272
2015-2-26,19,15,10,13,11,8,100,76,52,1016,1013,1010,16,14,0,16,5,24,0.00,2,Fog,157
2015-2-27,18,15,12,12,11,9,93,78,63,1011,1009,1007,16,16,16,21,9,29,0.00,6,,194
2015-2-28,18,16,13,9,8,6,72,62,52,1013,1010,1008,16,16,16,27,12,35,T,5,Rain,247
2015-3-1,17,14,10,9,8,7,89,72,55,1014,1013,1012,16,16,14,24,10,35,0.76,6,Rain,126
2015-3-2,16,13,9,9,8,6,89,70,51,1015,1013,1012,16,15,3,24,9,32,11.68,5,Rain-Thunderstorm,114
2015-3-3,19,13,8,9,6,3,86,62,37,1015,1013,1012,16,16,16,27,9,37,0.00,0,,311
2015-3-4,23,16,9,10,6,-1,86,54,22,1021,1018,1015,16,16,16,24,7,31,0.00,0,,293
2015-3-5,26,17,8,8,0,-7,77,44,11,1025,1022,1021,16,16,16,26,7,31,0.00,0,,318
2015-3-6,31,21,10,12,-1,-9,72,40,7,1021,1018,1015,16,16,16,23,8,27,0.00,0,,314
2015-3-7,31,21,10,7,0,-6,62,36,10,1016,1015,1013,16,16,16,24,7,29,0.00,0,,297
2015-3-8,22,17,11,13,9,3,80,62,44,1017,1015,1013,16,16,14,19,6,24,0.00,0,,171
2015-3-9,21,16,11,13,12,10,93,76,58,1016,1014,1011,16,14,8,19,7,23,0.00,2,,147
2015-3-10,26,19,13,13,13,11,93,67,40,1016,1014,1013,14,7,2,21,5,24,0.00,4,,283
2015-3-11,23,19,16,14,12,8,90,67,44,1019,1018,1015,16,11,6,23,6,40,T,1,Rain,304
2015-3-12,31,22,13,11,8,3,86,52,17,1018,1016,1013,16,16,14,24,6,27,0.00,0,,312
2015-3-13,33,24,14,11,7,1,69,42,14,1018,1016,1014,16,16,16,23,9,27,0.00,0,,305
2015-3-14,34,26,16,11,4,0,60,36,12,1018,1016,1014,16,16,16,26,7,29,0.00,0,,290
2015-3-15,33,26,18,11,6,1,53,33,13,1018,1015,1013,16,16,16,29,7,32,0.00,0,,262
2015-3-16,31,25,18,14,6,1,78,47,15,1014,1013,1011,16,16,14,16,5,24,0.00,0,,196
2015-3-17,26,21,16,15,12,6,84,57,29,1015,1013,1012,16,16,16,21,6,27,0.00,1,,167
2015-3-18,21,19,17,16,14,13,90,79,68,1016,1014,1014,16,16,14,24,10,31,0.00,4,,151
2015-3-19,23,19,14,14,13,12,84,69,53,1017,1015,1014,16,16,13,27,8,34,0.00,2,,299
2015-3-20,25,21,16,14,14,13,90,72,54,1019,1018,1016,16,13,11,26,8,32,0.00,3,,356
2015-3-21,22,19,16,15,13,13,90,76,61,1021,1020,1018,16,15,11,19,8,23,0.00,5,,170
2015-3-22,21,18,16,13,12,12,78,68,57,1022,1021,1020,16,15,11,24,10,32,0.00,4,,246
2015-3-23,23,18,14,12,11,8,80,61,41,1022,1021,1019,16,16,16,27,10,34,0.00,2,,242
2015-3-24,23,18,13,14,12,8,86,64,41,1019,1017,1015,16,16,16,23,7,29,0.00,1,,165
2015-3-25,28,21,14,14,12,8,90,63,36,1019,1017,1015,16,16,16,29,6,37,0.00,0,,300
2015-3-26,34,24,14,11,7,-1,75,43,11,1019,1017,1015,16,16,16,29,6,37,0.00,0,,299
2015-3-27,32,24,15,13,10,5,78,50,21,1019,1017,1015,16,16,16,29,8,35,0.00,0,,302
2015-3-28,26,21,16,15,14,9,90,63,35,1019,1017,1015,16,15,10,19,8,23,0.00,2,,164
2015-3-29,26,21,15,14,13,7,93,62,30,1018,1016,1014,16,13,6,16,7,23,0.00,3,,249
2015-3-30,26,21,14,14,13,12,90,68,46,1017,1016,1014,16,9,4,21,8,26,0.00,4,,315
2015-3-31,21,17,14,13,13,12,93,76,59,1017,1015,1014,16,13,6,19,8,27,0.00,3,,168
2015-4-1,24,19,13,13,11,4,93,63,33,1016,1015,1012,16,16,14,27,8,32,0.00,2,,205
2015-4-2,24,18,13,11,8,2,77,53,29,1017,1015,1014,16,16,14,27,8,35,0.00,1,,296
2015-4-3,30,22,13,11,2,-8,80,44,8,1018,1016,1014,16,16,16,27,10,34,0.00,0,,288
2015-4-4,29,21,13,11,4,-4,64,38,12,1014,1013,1011,16,16,16,29,8,35,0.00,0,,292
2015-4-5,21,17,13,13,11,9,86,69,52,1013,1012,1010,16,16,14,26,12,37,0.00,3,,183
2015-4-6,19,17,13,11,6,1,80,55,29,1016,1014,1012,16,16,16,24,12,32,0.00,1,,255
2015-4-7,19,15,11,12,7,4,80,62,43,1018,1016,1015,16,15,5,24,9,35,5.33,4,Rain,247
2015-4-8,22,16,10,10,6,0,89,57,25,1019,1017,1015,16,16,13,32,12,43,0.00,0,,305
2015-4-9,23,17,11,10,7,4,72,51,29,1015,1014,1013,16,16,16,24,7,34,0.00,0,,275
2015-4-10,22,17,12,11,9,3,89,59,29,1017,1015,1014,16,16,16,26,9,32,0.00,1,,248
2015-4-11,23,18,12,12,9,4,83,56,29,1015,1013,1012,16,16,16,23,7,29,0.00,0,,222
2015-4-12,23,18,13,15,12,10,90,70,49,1017,1014,1013,16,16,16,19,8,29,0.00,1,,179
2015-4-13,26,21,15,14,13,12,90,68,45,1019,1017,1016,16,16,14,24,9,29,0.00,3,,244
2015-4-14,23,19,15,13,11,9,84,67,49,1020,1017,1014,16,16,14,27,10,34,0.00,3,,246
2015-4-15,29,21,13,13,5,-7,86,48,10,1015,1013,1011,16,16,13,34,9,40,0.00,0,,331
2015-4-16,27,20,13,10,-1,-11,72,40,8,1017,1015,1013,16,16,14,34,10,39,0.00,0,,287
2015-4-17,28,21,12,4,-1,-8,47,28,9,1017,1016,1014,16,16,16,35,12,45,0.00,0,,280
2015-4-18,26,19,12,13,10,6,84,60,35,1017,1015,1013,16,16,14,21,10,24,0.00,0,,257
2015-4-19,24,19,13,13,12,9,87,63,38,1015,1013,1011,16,14,10,24,9,29,0.00,0,,284
2015-4-20,21,18,14,12,11,9,86,67,47,1013,1012,1010,16,16,14,23,9,31,0.00,4,,283
2015-4-21,19,17,15,10,8,7,72,59,45,1014,1013,1012,16,16,16,19,9,26,0.00,6,,238
